;Unnamed: 0.1;Unnamed: 0;participant;list;item;condition_id;verbclass;reference;NP1gender;prompt;cont;analyzable;word_order;anaphor_type;pers;name;filter_$;type;NP1;NP2;Koreferenz;Anaphorische Form;verb;AbstConc;Arou;IMG;Val
16;16;16;5.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie ein Herz hatte für die Armen und Schwachen.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
17;17;17;18.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie Verständnis für seine Misere hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
18;18;18;27.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie ihn so mochte;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
19;19;19;28.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er emphatisch ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
20;20;20;31.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie dies bei jedem tat, der nicht in den USA gewesen war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
21;21;21;42.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;ihm ihr Schicksal zusetzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena;;;bemitleidete;3.275;5.594;5.307;3.279
22;22;22;46.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er weiß wie sehr ein Bruch schmerzen kann.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
23;23;23;71.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er dasselbe durchgemacht hat;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena;NP1;personal;bemitleidete;3.275;5.594;5.307;3.279
24;24;24;28.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie das auch haben will.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel;NP1;personal;beneidete;3.103;5.81;4.267;6.457
25;25;25;29.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht so gut in Englisch war wie sie.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie;NP1;personal;beneidete;3.103;5.81;4.267;6.457
26;26;26;42.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie insgeheim auch gerne ein Junge wäre.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel;NP1;personal;beneidete;3.103;5.81;4.267;6.457
27;27;27;46.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie Angst vor ihren Gefühlen hat.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel;NP1;personal;beneidete;3.103;5.81;4.267;6.457
28;28;28;47.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht ausgelacht werden wollte;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie;NP1;personal;beneidete;3.103;5.81;4.267;6.457
29;29;29;63.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht so viel Zeit mit ihr verbringen konnte mit seiner Angebeteten wie Leonie.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie;NP1;personal;beneidete;3.103;5.81;4.267;6.457
30;30;30;71.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie nicht als Zicke da stehen wollte;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel;NP1;personal;beneidete;3.103;5.81;4.267;6.457
31;31;31;72.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er gerne ihren Job gehabt hätte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie;NP1;personal;beneidete;3.103;5.81;4.267;6.457
32;32;32;8.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er alles bewunderte was ihm schöne augen machte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
33;33;33;29.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie ihn beim Reiten gesehen hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
34;34;34;47.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie heimlich in ihn verliebt war;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
35;35;35;48.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er fasziniert von ihr war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
36;36;36;58.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er lange Haare toll findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
37;37;37;63.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie ihn so toll fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
38;38;38;66.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er fand dass sie sehr schön tanzen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
39;39;39;72.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie von seinem Talent beeindruckt war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco;NP1;personal;bewunderte;3.949;5.014;6.431;7.158
40;40;40;8.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;er immer die falschen dinge sagt.;3.0;;;;;Not Selected;Experiment;Anastasia;Mark;NP2;personal;ekelte sich vor;3.619;7.108;5.758;2.075
41;41;41;23.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er Pickel so abstoßend fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
42;42;42;48.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie Angst vor ihm hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
43;43;43;58.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie Männer mit Pickeln nicht ausstehen kann.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
44;44;44;62.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er Schweißgeruch nicht riechen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
45;45;45;66.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie keine blonden Jungen mag.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
46;46;46;68.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er keihne arroganten Menschen mochte;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
47;47;47;69.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er herausfand, dass sie sich nicht wäscht.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta;NP1;personal;ekelte sich vor;3.619;7.108;5.758;2.075
48;48;48;2.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er so schwach war;1.0;;;;;Not Selected;Experiment;Bastian;Lutze;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
49;49;49;10.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er Angst vor starken Persönlichkeiten hatte.;1.0;;;;;Not Selected;Experiment;Bastian;Lutze;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
50;50;50;15.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er um einiges kleiner war.;1.0;;;;;Not Selected;Experiment;Bastian;Lutze;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
51;51;51;67.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er ein Geheimnis hat;1.0;;;;;Not Selected;Experiment;Bastian;Lutze;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
52;52;52;23.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie Angst vor großen Leuten hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
53;53;53;62.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie Angst vor seinen Augen hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
54;54;54;68.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sieisch so klein neben ihm vorkam;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus;;;fürchtete;2.905;7.122;4.842;2.991
55;55;55;69.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie sein Äußeres abschreckte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus;NP1;personal;fürchtete;2.905;7.122;4.842;2.991
56;56;56;2.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;er so ein arroganter arsch war;3.0;;;;;Not Selected;Experiment;Anke;Martin;NP2;personal;hasste;2.681;6.813;5.311;2.594
57;57;57;15.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;ihre Familien Erzfeinde waren.;1.0;;;;;Not Selected;Experiment;Anke;Martin;;;hasste;2.681;6.813;5.311;2.594
58;58;58;10.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;ihr Bruder den gleichen Namen trug.;5.0;so;;;;Selected;Experiment;Anke;Martin;;;hasste;2.681;6.813;5.311;2.594
59;59;59;1.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er von ihr keine aufmerksamkeit bekam;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine;NP1;personal;hasste;2.681;6.813;5.311;2.594
60;60;60;11.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er nicht auf Prinzessinnen steht.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine;NP1;personal;hasste;2.681;6.813;5.311;2.594
61;61;61;13.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er Menschen wie sie nicht mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine;NP1;personal;hasste;2.681;6.813;5.311;2.594
62;62;62;61.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er sich von ihr betrogen fühlte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine;NP1;personal;hasste;2.681;6.813;5.311;2.594
63;63;63;67.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;sie keine Jungen mag;5.0;so;pers;1.0;0.0;Selected;Experiment;Anke;Martin;NP1;personal;hasste;2.681;6.813;5.311;2.594
64;64;64;12.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er sie so humorvoll war;5.0;os;pers;;;Not Selected;Experiment;Benedikt;Magdalena;NP1;personal;liebte;2.749;6.27;5.54;7.487
65;65;65;1.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie ihn schon lange kannte;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin;NP1;personal;liebte;2.749;6.27;5.54;7.487
66;66;66;11.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie seine Ehrlichkeit sehr schätzt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin;NP1;personal;liebte;2.749;6.27;5.54;7.487
67;67;67;13.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie sehr glücklich mit ihm war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin;NP1;personal;liebte;2.749;6.27;5.54;7.487
68;68;68;14.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er ein herzensguter Mensch ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena;NP1;personal;liebte;2.749;6.27;5.54;7.487
69;69;69;20.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er über alles mit ihr reden konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena;NP1;personal;liebte;2.749;6.27;5.54;7.487
70;70;70;61.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie es eben tat.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin;NP1;personal;liebte;2.749;6.27;5.54;7.487
71;71;71;65.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er sie so schön findet;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena;NP1;personal;liebte;2.749;6.27;5.54;7.487
72;72;72;31.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;sie immer so lange bei der Arbeit war.;3.0;;;;;Not Selected;Experiment;Benjamin;Maja;NP2;personal;misstraute;2.642;5.503;4.065;3.792
73;73;73;5.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er sie beobachtet hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja;NP1;personal;misstraute;2.642;5.503;4.065;3.792
74;74;74;12.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie den Verdacht hatte, dass er fremd ging;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias;NP1;personal;misstraute;2.642;5.503;4.065;3.792
75;75;75;14.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie keinem vertraut.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias;NP1;personal;misstraute;2.642;5.503;4.065;3.792
76;76;76;18.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er von ihr belogen wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja;NP1;personal;misstraute;2.642;5.503;4.065;3.792
77;77;77;20.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie vermutete, dass er sie mit einer alten Bekannten betrog.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias;NP1;personal;misstraute;2.642;5.503;4.065;3.792
78;78;78;27.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er sie mit einem Anderen gesehen hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja;NP1;personal;misstraute;2.642;5.503;4.065;3.792
79;79;79;65.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie von ihm betrogen wurde;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias;NP1;personal;misstraute;2.642;5.503;4.065;3.792
80;80;80;5.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;er wenigstens zuhören konnte.;3.0;;;;;Not Selected;Experiment;Annemarie;Max;NP2;personal;mochte;2.246;4.713;3.756;7.458
81;81;81;18.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;er ihr immer Geschenke machte.;3.0;;;;;Not Selected;Experiment;Annemarie;Max;NP2;personal;mochte;2.246;4.713;3.756;7.458
82;82;82;27.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;sie keine Angst vor ihm hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Annemarie;Max;NP1;personal;mochte;2.246;4.713;3.756;7.458
83;83;83;28.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er blonde Haare mag.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell;NP1;personal;mochte;2.246;4.713;3.756;7.458
84;84;84;31.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;sie Locken toll fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annemarie;Max;NP1;personal;mochte;2.246;4.713;3.756;7.458
85;85;85;42.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er ihren Namen schön fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell;NP1;personal;mochte;2.246;4.713;3.756;7.458
86;86;86;46.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er ihr Stimme bezaubernd findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell;NP1;personal;mochte;2.246;4.713;3.756;7.458
87;87;87;71.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er sie so sympathisch fand;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell;NP1;personal;mochte;2.246;4.713;3.756;7.458
88;88;88;28.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie ihn schätzen gelernt hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian;NP1;personal;respektierte;3.143;5.897;4.027;6.363
89;89;89;29.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er von ihr gefördert wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie;NP1;personal;respektierte;3.143;5.897;4.027;6.363
90;90;90;42.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;er ihr damals das Leben gerettet hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian;NP2;personal;respektierte;3.143;5.897;4.027;6.363
91;91;91;46.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie ihn liebt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian;NP1;personal;respektierte;3.143;5.897;4.027;6.363
92;92;92;47.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er durch sie eine bessere Arbeit gefunden hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie;NP1;personal;respektierte;3.143;5.897;4.027;6.363
93;93;93;63.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er immer loyal ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie;NP1;personal;respektierte;3.143;5.897;4.027;6.363
94;94;94;71.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie mit ihm über alles sprechen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian;NP1;personal;respektierte;3.143;5.897;4.027;6.363
95;95;95;72.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er von ihrem integeren Charakter überzeugt war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie;NP1;personal;respektierte;3.143;5.897;4.027;6.363
96;96;96;47.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;ihr finanzielle Situation von ihm sehr verbessert wurde;5.0;so;;;;Selected;Experiment;Bianca;Michael;;;schätzte;4.125;3.616;3.732;7.192
97;97;97;8.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er sie mittlerweile richtig gut kannte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike;NP1;personal;schätzte;4.125;3.616;3.732;7.192
98;98;98;29.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;sie von ihm nicht verpetzt wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Bianca;Michael;NP1;personal;schätzte;4.125;3.616;3.732;7.192
99;99;99;48.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er sie verehrte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike;NP1;personal;schätzte;4.125;3.616;3.732;7.192
100;100;100;58.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er starke Frauen toll findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike;NP1;personal;schätzte;4.125;3.616;3.732;7.192
101;101;101;63.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;sie ihn liebte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Bianca;Michael;NP1;personal;schätzte;4.125;3.616;3.732;7.192
