;Unnamed: 0;Participant;List;type;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1gender;NP2_gender;verbclass;Connective;prompt;cont;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;NP1;NP2
10;10;112;1;Experiment;41;male;rechts;4643;70599;keine;ja;male;8;5;1,56042E+13;2;weil_se_fm;bezaubern;subject;f; m;se; weil;Martha bezauberte Tim, weil;Ihm ihre neue Wäsche zeigte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;191;444;Not Selected;Martha;Tim
11;11;112;1;Experiment;41;male;rechts;4643;70599;keine;ja;male;69;5;1,56042E+13;2;sodass_es_mf;vergöttern;subject;m; f;es; sodass;Tim vergötterte Martha, sodass;Er sie bat.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1340;462;Not Selected;Tim;Martha
12;12;112;1;Experiment;41;male;rechts;4643;70599;keine;ja;male;35;7;1,56042E+13;2;weil_es_fm;schätzen;object;f; m;es; weil;Lena schätzte Oliver, weil;Immer ein gut gefülltes Portemonnaie mit sich trug.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;167;449;Not Selected;Lena;Oliver
13;13;112;1;Experiment;41;male;rechts;4643;70599;keine;ja;male;77;10;1,56042E+13;2;weil_es_mf;achten;object;m; f;es; weil;Robin achtete Adele, weil;Gut kocht.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1445;463;Not Selected;Robin;Adele
14;14;112;1;Experiment;41;male;rechts;4643;70599;keine;ja;male;53;19;1,56042E+13;2;weil_es_fm;sorgen sich um;object;f; m;es; weil;Alisa sorgte sich um Alexander, weil;Immer wieder trank.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;657;456;Not Selected;Alisa;Alexander
15;15;113;1;Experiment;22;female;rechts;74363;72072;keine;nein;female;92;12;1,56053E+13;2;sodass_es_fm;lieben;subject;f; m;es; sodass;Emma liebte Fritz, sodass;ihn an sich drückte so fest es ging.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1537;511;Not Selected;Emma;Fritz
16;16;202;2;Experiment;27;male;rechts;61440;72076;keine;ja;male;112;6;1,56047E+13;2;weil_se_fm;verwirren;subject;f; m;se; weil;Jana verwirrte Daniel, weil;sie mitten ihm Thems anfing;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;642;596;Not Selected;Jana;Daniel
17;17;204;2;Experiment;30;female;links;72461;72070;keine;ja;female;50;9;1,56043E+13;2;weil_se_mf;stören;subject;m; f;se; weil;Malte störte Annemarie, weil;sich bei dem Lärm, den er machte, nicht auf ihr Buch konzentrieren konnte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1781;658;Not Selected;Malte;Annemarie
18;18;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;9;6;1560411822;2;sodass_es_mf;misstrauen;subject;m; f;es; sodass;Daniel misstraute Jana, sodass;andere gegen sie aufhetzte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1869;844;Not Selected;Daniel;Jana
19;19;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;118;16;1,56041E+13;2;weil_es_fm;vertrauen;object;f; m;es; weil;Stefanie vertraute Dennis, weil;ihr in schlechten Zeiten immer beistand.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1503;880;Not Selected;Stefanie;Dennis
20;20;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;23;12;1,56042E+12;2;weil_es_fm;lieben;object;f; m;es; weil;Emma liebte Fritz, weil;Anastasia das wusste, hatte sie ihrer Freundin gesagt, sie soll einen Liebesbrief schreiben.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;2061;889;Not Selected;Emma;Fritz
21;21;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;43;20;1560415656;2;weil_es_fm;bedauern;object;f; m;es; weil;Aisha bedauerte Albert, weil;immer die alten Klamotten anhatte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;956;899;Not Selected;Aisha;Albert
22;22;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;25;9;1,56046E+13;2;weil_se_mf;stören;subject;m; f;se; weil;Malte störte Annemarie, weil;sie ihr was dringendes mitteilen musste.;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;23;930;Not Selected;Malte;Annemarie
23;23;301;3;Experiment;28;female;rechts;73099;72116;Polnisch;ja;female; ;8; ;2;weil_es_mf;mögen;object;m; f;es; weil;Tobias mochte Jennifer, weil; ;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected; ; ;Not Selected;Tobias;Jennifer
24;24;301;3;Experiment;28;female;rechts;73099;72116;Polnisch;ja;female; ;14; ;2;weil_se_mf;verblüffen;subject;m; f;se; weil;Yannick verblüffte Janina, weil; ;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected; ; ;Not Selected;Yannick;Janina
25;25;303;3;Experiment;19;female;rechts;52511;72076;keine;ja;female;74;13;1,56042E+13;2;sodass_se_mf;langweilen;object;m; f;se; sodass;Jacob langweilte Melanie, sodass;Aus einem offensichtlich erfundenen Grund nachhause ging;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;306;1143;Not Selected;Jacob;Melanie
26;26;304;3;Experiment;23;female;rechts;89275;89275;keine;ja;female;43;6;1,56043E+12;2;sodass_es_fm;misstrauen;subject;f; m;es; sodass;Jana misstraute Daniel, sodass; ;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;61;1173;Not Selected;Jana;Daniel
27;27;305;3;Experiment;21;male;rechts;72581;72581;keine;ja;male;87;7;1,56042E+13;2;sodass_es_mf;schätzen;subject;m; f;es; sodass;Oliver schätzte Lena, sodass;er sich eine schlbe Leeeeeeev;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;876;1226;Not Selected;Oliver;Lena
28;28;305;3;Experiment;21;male;rechts;72581;72581;keine;ja;male;32;8;1,56042E+12;2;sodass_se_fm;gefallen;object;f; m;se; sodass;Jennifer gefiel Tobias, sodass;sie ihn zusammengeschlagen hat;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1652;1208;Not Selected;Jennifer;Tobias
29;29;305;3;Experiment;21;male;rechts;72581;72581;keine;ja;male;43;17;1,56042E+13;2;sodass_se_mf;irritieren;object;m; f;se; sodass;Felix irritierte Marike, sodass;Marike ihren Namen wechselte weil es den Namen nicht gibt.;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;736;1210;Not Selected;Felix;Marike
30;30;308;3;Experiment;28;female;rechts;65824;72076;keine;nein;female;29;2;1,56044E+13;2;weil_se_mf;faszinieren;subject;m; f;se; weil;Patrick faszinierte Anastasia, weil;nach all den Schicksalsschlägen noch immer ein sprühender Optimist ist.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;2037;1330;Not Selected;Patrick;Anastasia
31;31;308;3;Experiment;28;female;rechts;65824;72076;keine;nein;female;25;13;1,56044E+12;2;weil_es_fm;bemitleiden;object;f; m;es; weil;Melanie bemitleidete Jacob, weil;bald an Krebs sterben würde.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1575;1329;Not Selected;Melanie;Jacob
32;32;309;3;Experiment;26;male;rechts;22045;72108;Koreanisch;ja;male;11;11;1,56044E+12;2;sodass_es_mf;bewundern;subject;m; f;es; sodass;Armin bewunderte Anna, sodass;sie anfing Anna nachzuahmen.;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1541;1363;Not Selected;Armin;Anna
33;33;311;3;Experiment;25;male;rechts;53604;72072;keine;ja;male;99;1;1,5605E+13;2;sodass_se_mf;schockieren;object;m; f;se; sodass;Lars schockierte Johanna, sodass;erschrocken guckte;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;831;1473;Not Selected;Lars;Johanna
34;34;311;3;Experiment;25;male;rechts;53604;72072;keine;ja;male;84;12;1,5605E+13;2;sodass_se_fm;amüsieren;object;f; m;se; sodass;Emma amüsierte Fritz, sodass;lachte;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;448;1466;Not Selected;Emma;Fritz
35;35;402;4;Experiment;19;male;rechts;63762;72076;keine;ja;male;89;12;1,56053E+13;2;sodass_es_mf;lieben;subject;m; f;es; sodass;Fritz liebte Emma, sodass;erm;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1692;1627;Not Selected;Fritz;Emma
36;36;402;4;Experiment;19;male;rechts;63762;72076;keine;ja;male;63;15;1,56052E+13;2;weil_se_mf;ängstigen;subject;m; f;se; weil;Rüdiger ängstigte Katharina, weil;ermd;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;171;1620;Not Selected;Rüdiger;Katharina
37;37;405;4;Experiment;20;female;rechts;73207;73207;keine;ja;female;16;6;1,56042E+13;2;weil_es_fm;misstrauen;object;f; m;es; weil;Jana misstraute Daniel, weil;ein sich in der Vergangenheit schlecht benommen hatte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;97;1725;Not Selected;Jana;Daniel
38;38;405;4;Experiment;20;female;rechts;73207;73207;keine;ja;female; ;13; ;2;sodass_se_fm;langweilen;object;f; m;se; sodass;Melanie langweilte Jacob, sodass; ;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected; ; ;Not Selected;Melanie;Jacob
39;39;406;4;Experiment;21;female;rechts;70771;72074;keine;ja;female;21;10;1,56044E+13;2;weil_es_fm;achten;object;f; m;es; weil;Adele achtete Robin, weil;immer ein gutes Wort für sie eingelegt hatte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;731;1765;Not Selected;Adele;Robin
40;40;406;4;Experiment;21;female;rechts;70771;72074;keine;ja;female;76;13;1,56044E+13;2;sodass_se_fm;langweilen;object;f; m;se; sodass;Melanie langweilte Jacob, sodass;von ihm nie zu den Filmabenden eingeladen wurde.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;2079;1785;Not Selected;Melanie;Jacob
41;41;407;4;Experiment;24;female;rechts;35094;72070;keine;ja;female;107;10;1,56053E+13;2;weil_es_fm;achten;object;f; m;es; weil;Adele achtete Robin, weil;sie ihn nicht siebenen konnte.;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1506;1833;Not Selected;Adele;Robin
42;42;408;4;Experiment;25;female;links;86647;72072;keine;nein;female;109;3;1,56051E+13;2;sodass_es_fm;verabscheuen;subject;f; m;es; sodass;Simone verabscheute Michael, sodass;niemand in der Lage war das zu ändern;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1425;1872;Not Selected;Simone;Michael
43;43;408;4;Experiment;25;female;links;86647;72072;keine;nein;female;82;4;1,56051E+13;2;weil_se_fm;inspirieren;subject;f; m;se; weil;Saskia inspirierte Kevin, weil;niemand anders auf die gleiche Idee kam;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;1867;1866;Not Selected;Saskia;Kevin
44;44;409;4;Experiment;27;female;rechts;67067;72076;keine;nein;female; ;5; ;2;sodass_se_fm;bezaubern;object;f; m;se; sodass;Martha bezauberte Tim, sodass; ;unvollständig; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected; ; ;Not Selected;Martha;Tim
45;45;412;4;Experiment;20;female;rechts;78224;72074;keine;nein;female;94;3;1,56042E+12;2;sodass_es_fm;verabscheuen;subject;f; m;es; sodass;Simone verabscheute Michael, sodass;Er ihm in irgendeiner Weise Schäden wollte;sinnlos; ; ; ; ; ; ; ; ; ; ; ; ;Not Selected;141;2033;Not Selected;Simone;Michael
46;46;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;49;8;1,56044E+13;2;weil_se_mf;gefallen;subject;m; f;se; weil;Tobias gefiel Jennifer, weil;sie einen außergewöhnlichen Humor hatte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;810;18;Not Selected;Tobias;Jennifer
47;47;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;119;1;1,56052E+12;2;sodass_es_mf;verachten;subject;m; f;es; sodass;Lars verachtete Johanna, sodass;er verbitterte;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1112;79;Not Selected;Lars;Johanna
48;48;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;68;14;1,56052E+13;2;sodass_se_fm;verblüffen;object;f; m;se; sodass;Janina verblüffte Yannick, sodass;sie sich freute;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;659;64;Not Selected;Janina;Yannick
49;49;105;1;Experiment;24;female;rechts;88250;72076;keine;ja;female;56;8;1,56044E+13;2;weil_se_mf;gefallen;subject;m; f;se; weil;Tobias gefiel Jennifer, weil;sie große Brüste hatte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1416;178;Not Selected;Tobias;Jennifer
50;50;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;10;2;1560493188;2;sodass_se_fm;faszinieren;object;f; m;se; sodass;Anastasia faszinierte Patrick, sodass;sie voller Freude war;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;574;204;Not Selected;Anastasia;Patrick
51;51;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;21;8;1,56049E+13;2;weil_se_mf;gefallen;subject;m; f;se; weil;Tobias gefiel Jennifer, weil;sie so hübsche Haare hatte;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;30;210;Not Selected;Tobias;Jennifer
52;52;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;55;12;1,56049E+13;2;weil_se_mf;amüsieren;subject;m; f;se; weil;Fritz amüsierte Emma, weil;sie gute Witze erzählte;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1535;223;Not Selected;Fritz;Emma
53;53;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;36;13;1,56049E+13;2;weil_se_fm;langweilen;subject;f; m;se; weil;Melanie langweilte Jacob, weil;er immer dasselbe sagte;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;774;215;Not Selected;Melanie;Jacob
54;54;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;18;14;1,56049E+13;2;sodass_se_fm;verblüffen;object;f; m;se; sodass;Janina verblüffte Yannick, sodass;sie immer etwas zu staunen hatte;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;957;207;Not Selected;Janina;Yannick
55;55;106;1;Experiment;22;male;rechts;71101;71101;keine;ja;male;51;16;1,56049E+13;2;weil_se_mf;entzücken;subject;m; f;se; weil;Dennis entzückte Stefanie, weil;sie ein so hübsches kurzes Kleid trug;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;350;220;Not Selected;Dennis;Stefanie
56;56;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;20;8;1,56054E+13;2;weil_se_mf;gefallen;subject;m; f;se; weil;Tobias gefiel Jennifer, weil;sie ihm Geborgenheit schenckte.;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1149;326;Not Selected;Tobias;Jennifer
57;57;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;10;9;1,56054E+13;2;weil_se_fm;stören;subject;f; m;se; weil;Annemarie störte Malte, weil;er wieder einmal versuchte seinen eigenen Pupsrekord zu schlagen.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;757;323;Not Selected;Annemarie;Malte
58;58;109;1;Experiment;27;male;rechts;73037;72074;keine;ja;male;4;13;1,56054E+13;2;weil_se_fm;langweilen;subject;f; m;se; weil;Melanie langweilte Jacob, weil;er tagein tagaus nur im Kreise zu laufen vermochte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1870;321;Not Selected;Melanie;Jacob
59;59;110;1;Experiment;28;female;rechts;74080;72070;keine;nein;female;110;10;1,56043E+13;2;weil_es_mf;achten;object;m; f;es; weil;Robin achtete Adele, weil;er aufrichtig und ehrlich war.;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1196;396;Not Selected;Robin;Adele
60;60;113;1;Experiment;22;female;rechts;74363;72072;keine;nein;female;68;12;1,56053E+12;2;weil_se_mf;amüsieren;subject;m; f;se; weil;Fritz amüsierte Emma, weil;sie immer so tollpatschig war.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;280;504;Not Selected;Fritz;Emma
61;61;113;1;Experiment;22;female;rechts;74363;72072;keine;nein;female;112;13;1,56053E+13;2;weil_se_fm;langweilen;subject;f; m;se; weil;Melanie langweilte Jacob, weil;er immer die gleichen Argumente hervorbrachte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1171;518;Not Selected;Melanie;Jacob
62;62;113;1;Experiment;22;female;rechts;74363;72072;keine;nein;female;34;16;1,56053E+13;2;weil_se_mf;entzücken;subject;m; f;se; weil;Dennis entzückte Stefanie, weil;sie so schöne Locken hatte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1525;492;Not Selected;Dennis;Stefanie
63;63;203;2;Experiment;22;female;rechts;71032;72076;Italienisch;ja;female;19;2;1,56046E+13;2;weil_se_fm;faszinieren;subject;f; m;se; weil;Anastasia faszinierte Patrick, weil;er so viel wusste.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;418;605;Not Selected;Anastasia;Patrick
64;64;203;2;Experiment;22;female;rechts;71032;72076;Italienisch;ja;female;55;18;1,56046E+13;2;weil_se_fm;erstaunen;subject;f; m;se; weil;Marie erstaunte Klaus, weil;er ihr immer verrückte Geschichten erzählte.;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;469;618;Not Selected;Marie;Klaus
65;65;204;2;Experiment;30;female;links;72461;72070;keine;ja;female;90;13;1,56044E+13;2;weil_se_mf;langweilen;subject;m; f;se; weil;Jacob langweilte Melanie, weil;sie einfach nie spontan war.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1712;672;Not Selected;Jacob;Melanie
66;66;205;2;Experiment;27;male;rechts;12559;72072;keine;ja;male;17;2;1,56042E+13;2;weil_se_fm;faszinieren;subject;f; m;se; weil;Anastasia faszinierte Patrick, weil;er geheimnisvoll war.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1344;688;Not Selected;Anastasia;Patrick
67;67;208;2;Experiment;24;female;rechts;72829;72071;keine;nein;female;11;3;1,56043E+13;2;sodass_se_fm;enttäuschen;object;f; m;se; sodass;Simone enttäuschte Michael, sodass;sie nie wieder mit ihm sprach;sinnvoll;zwei;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1859;805;Not Selected;Simone;Michael
68;68;208;2;Experiment;24;female;rechts;72829;72071;keine;nein;female;26;5;1,56043E+13;2;weil_se_mf;bezaubern;subject;m; f;se; weil;Tim bezauberte Martha, weil;sie ihm gefiel;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1016;808;Not Selected;Tim;Martha
69;69;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;85;2;1,56041E+13;2;weil_se_fm;faszinieren;subject;f; m;se; weil;Anastasia faszinierte Patrick, weil;er intensiv blaue Augen hatte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1762;870;Not Selected;Anastasia;Patrick
70;70;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;24;8;1,56042E+13;2;sodass_se_mf;gefallen;object;m; f;se; sodass;Tobias gefiel Jennifer, sodass;sie ihn mit zum Essen nahm.;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;2008;890;Not Selected;Tobias;Jennifer
71;71;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;72;13;1,56042E+13;2;sodass_es_fm;bemitleiden;subject;f; m;es; sodass;Melanie bemitleidete Jacob, sodass;er ihr ein Taschentuch gab und sich neben sie auf die Bank setzte.;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;452;907;Not Selected;Melanie;Jacob
72;72;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;14;8;1,56046E+13;2;sodass_se_mf;gefallen;object;m; f;se; sodass;Tobias gefiel Jennifer, sodass;sie immer in seiner Nähe schüchtern wurde.;sinnvoll;zwei;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;708;926;Not Selected;Tobias;Jennifer
73;73;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;30;15;1,56046E+13;2;sodass_se_fm;ängstigen;object;f; m;se; sodass;Katharina ängstigte Rüdiger, sodass;er nur lachen kann, weil er sie so nicht ernstnehmen kann.;sinnvoll;eine;os;NP1; ; ;pers;1;ja;ja;ja; ; ;Not Selected;1965;932;Not Selected;Katharina;Rüdiger
74;74;212;2;Experiment;30;male;rechts;99192;72108;keine;ja;male;103;3;1,56042E+13;2;sodass_se_fm;enttäuschen;object;f; m;se; sodass;Simone enttäuschte Michael, sodass;sie ihm in Zukunft keine Aufgaben mehr geben wollte.;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1986;997;Not Selected;Simone;Michael
75;75;212;2;Experiment;30;male;rechts;99192;72108;keine;ja;male;97;10;1,56042E+13;2;weil_se_fm;beeindrucken;subject;f; m;se; weil;Adele beeindruckte Robin, weil;er einen bleibenden Eindruck hinterlassen wollte.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1835;993;Not Selected;Adele;Robin
76;76;301;3;Experiment;28;female;rechts;73099;72116;Polnisch;ja;female;119;5;1,56043E+12;2;sodass_se_mf;bezaubern;object;m; f;se; sodass;Tim bezauberte Martha, sodass;Er sich ein Date erhoffte.;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;856;1079;Not Selected;Tim;Martha
77;77;302;3;Experiment;26;female;rechts;83527;70619;keine;ja;female;118;8;1,56045E+13;2;sodass_se_fm;gefallen;object;f; m;se; sodass;Jennifer gefiel Tobias, sodass;sie ihn küsste;sinnvoll;zwei;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1930;1117;Not Selected;Jennifer;Tobias
78;78;302;3;Experiment;26;female;rechts;83527;70619;keine;ja;female;89;16;1,56045E+13;2;sodass_se_fm;entzücken;object;f; m;se; sodass;Stefanie entzückte Dennis, sodass;sie ihn küsste;sinnvoll;zwei;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;678;1108;Not Selected;Stefanie;Dennis
79;79;302;3;Experiment;26;female;rechts;83527;70619;keine;ja;female;120;19;1,56045E+13;2;weil_se_fm;erschüttern;subject;f; m;se; weil;Alisa erschütterte Alexander, weil;er unehrlich war;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1063;1119;Not Selected;Alisa;Alexander
