;Unnamed: 0;participant;list;item;condition_id;verbclass;reference;NP1gender;prompt;cont;analyzable;word_order;anaphor_type;pers;name;filter_$;type;NP1;NP2
10;10;14.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie schon immer empathisch wart.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg
11;11;18.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er ein großes Herz hat,;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura
12;12;20.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie verstand, warum er traurig war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg
13;13;27.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er alles nachfühlen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura
14;14;31.0;4.0;2.0;3.0;es;subject;m;Albert bedauerte Laura aus tiefstem Herzen, weil;er selbst schon ähnliches durchgemacht hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Albert;Laura
15;15;65.0;3.0;2.0;2.0;es;subject;f;Aisha bedauerte Jörg aus tiefstem Herzen, weil;sie von seiner Kündigung erfahren hat;5.0;so;pers;1.0;0.0;Selected;Experiment;Aisha;Jörg
16;16;5.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie ein Herz hatte für die Armen und Schwachen.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel
17;17;18.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie Verständnis für seine Misere hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel
18;18;27.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie ihn so mochte;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel
19;19;28.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er emphatisch ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena
20;20;31.0;4.0;3.0;2.0;es;subject;f;Alexandra bemitleidete Manuel in hohem Maße, weil;sie dies bei jedem tat, der nicht in den USA gewesen war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexandra;Manuel
21;21;42.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;ihm ihr Schicksal zusetzte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena
22;22;46.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er weiß wie sehr ein Bruch schmerzen kann.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena
23;23;71.0;5.0;3.0;3.0;es;subject;m;Alexander bemitleidete Lena in hohem Maße, weil;er dasselbe durchgemacht hat;5.0;so;pers;1.0;0.0;Selected;Experiment;Alexander;Lena
24;24;28.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie das auch haben will.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel
25;25;29.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht so gut in Englisch war wie sie.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie
26;26;42.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie insgeheim auch gerne ein Junge wäre.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel
27;27;46.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie Angst vor ihren Gefühlen hat.;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel
28;28;47.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht ausgelacht werden wollte;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie
29;29;63.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er nicht so viel Zeit mit ihr verbringen konnte mit seiner Angebeteten wie Leonie.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie
30;30;71.0;5.0;4.0;2.0;es;subject;f;Alisa beneidete Marcel, ohne es offen zu zeigen, weil;sie nicht als Zicke da stehen wollte;5.0;so;pers;1.0;0.0;Selected;Experiment;Alisa;Marcel
31;31;72.0;6.0;4.0;3.0;es;subject;m;Andreas beneidete Leonie, ohne es offen zu zeigen, weil;er gerne ihren Job gehabt hätte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Andreas;Leonie
32;32;8.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er alles bewunderte was ihm schöne augen machte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa
33;33;29.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie ihn beim Reiten gesehen hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco
34;34;47.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie heimlich in ihn verliebt war;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco
35;35;48.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er fasziniert von ihr war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa
36;36;58.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er lange Haare toll findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa
37;37;63.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie ihn so toll fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco
38;38;66.0;7.0;5.0;3.0;es;subject;m;Armin bewunderte Lisa seit geraumer Zeit, weil;er fand dass sie sehr schön tanzen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Armin;Lisa
39;39;72.0;6.0;5.0;2.0;es;subject;f;Amelia bewunderte Marco seit geraumer Zeit, weil;sie von seinem Talent beeindruckt war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Amelia;Marco
40;40;8.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;er immer die falschen dinge sagt.;3.0;;;;;Not Selected;Experiment;Anastasia;Mark
41;41;23.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er Pickel so abstoßend fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta
42;42;48.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie Angst vor ihm hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark
43;43;58.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie Männer mit Pickeln nicht ausstehen kann.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark
44;44;62.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er Schweißgeruch nicht riechen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta
45;45;66.0;7.0;6.0;2.0;es;subject;f;Anastasia ekelte sich vor Mark schon eine ganze Weile, weil;sie keine blonden Jungen mag.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anastasia;Mark
46;46;68.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er keihne arroganten Menschen mochte;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta
47;47;69.0;8.0;6.0;3.0;es;subject;m;Arthur ekelte sich vor Lotta schon eine ganze Weile, weil;er herausfand, dass sie sich nicht wäscht.;5.0;so;pers;1.0;0.0;Selected;Experiment;Arthur;Lotta
48;48;2.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er so schwach war;1.0;;;;;Not Selected;Experiment;Bastian;Lutze
49;49;10.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er Angst vor starken Persönlichkeiten hatte.;1.0;;;;;Not Selected;Experiment;Bastian;Lutze
50;50;15.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er um einiges kleiner war.;1.0;;;;;Not Selected;Experiment;Bastian;Lutze
51;51;67.0;1.0;7.0;3.0;es;subject;m;Bastian fürchtete Lutze ein kleines bisschen, weil;er ein Geheimnis hat;1.0;;;;;Not Selected;Experiment;Bastian;Lutze
52;52;23.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie Angst vor großen Leuten hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus
53;53;62.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie Angst vor seinen Augen hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus
54;54;68.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sieisch so klein neben ihm vorkam;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus
55;55;69.0;8.0;7.0;2.0;es;subject;f;Anja fürchtete Markus ein kleines bisschen, weil;sie sein Äußeres abschreckte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anja;Markus
56;56;2.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;er so ein arroganter arsch war;3.0;;;;;Not Selected;Experiment;Anke;Martin
57;57;15.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;ihre Familien Erzfeinde waren.;1.0;;;;;Not Selected;Experiment;Anke;Martin
58;58;10.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;ihr Bruder den gleichen Namen trug.;5.0;so;;;;Selected;Experiment;Anke;Martin
59;59;1.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er von ihr keine aufmerksamkeit bekam;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine
60;60;11.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er nicht auf Prinzessinnen steht.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine
61;61;13.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er Menschen wie sie nicht mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine
62;62;61.0;2.0;8.0;3.0;es;subject;m;Ben hasste Madeleine bis aufs Blut, weil;er sich von ihr betrogen fühlte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Ben;Madeleine
63;63;67.0;1.0;8.0;2.0;es;subject;f;Anke hasste Martin bis aufs Blut, weil;sie keine Jungen mag;5.0;so;pers;1.0;0.0;Selected;Experiment;Anke;Martin
64;64;12.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er sie so humorvoll war;5.0;os;pers;;;Not Selected;Experiment;Benedikt;Magdalena
65;65;1.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie ihn schon lange kannte;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin
66;66;11.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie seine Ehrlichkeit sehr schätzt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin
67;67;13.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie sehr glücklich mit ihm war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin
68;68;14.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er ein herzensguter Mensch ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena
69;69;20.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er über alles mit ihr reden konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena
70;70;61.0;2.0;9.0;2.0;es;subject;f;Anna liebte Marvin von ganzem Herzen, weil;sie es eben tat.;5.0;so;pers;1.0;0.0;Selected;Experiment;Anna;Marvin
71;71;65.0;3.0;9.0;3.0;es;subject;m;Benedikt liebte Magdalena von ganzem Herzen, weil;er sie so schön findet;5.0;so;pers;1.0;0.0;Selected;Experiment;Benedikt;Magdalena
72;72;31.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;sie immer so lange bei der Arbeit war.;3.0;;;;;Not Selected;Experiment;Benjamin;Maja
73;73;5.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er sie beobachtet hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja
74;74;12.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie den Verdacht hatte, dass er fremd ging;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias
75;75;14.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie keinem vertraut.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias
76;76;18.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er von ihr belogen wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja
77;77;20.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie vermutete, dass er sie mit einer alten Bekannten betrog.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias
78;78;27.0;4.0;10.0;3.0;es;subject;m;Benjamin misstraute Maja seit einer ganzen Weile, weil;er sie mit einem Anderen gesehen hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Benjamin;Maja
79;79;65.0;3.0;10.0;2.0;es;subject;f;Annalena misstraute Matthias seit einer ganzen Weile, weil;sie von ihm betrogen wurde;5.0;so;pers;1.0;0.0;Selected;Experiment;Annalena;Matthias
80;80;5.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;er wenigstens zuhören konnte.;3.0;;;;;Not Selected;Experiment;Annemarie;Max
81;81;18.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;er ihr immer Geschenke machte.;3.0;;;;;Not Selected;Experiment;Annemarie;Max
82;82;27.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;sie keine Angst vor ihm hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Annemarie;Max
83;83;28.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er blonde Haare mag.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell
84;84;31.0;4.0;11.0;2.0;es;subject;f;Annemarie mochte Max ganz besonders gerne, weil;sie Locken toll fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annemarie;Max
85;85;42.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er ihren Namen schön fand.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell
86;86;46.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er ihr Stimme bezaubernd findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell
87;87;71.0;5.0;11.0;3.0;es;subject;m;Björn mochte Maribell ganz besonders gerne, weil;er sie so sympathisch fand;5.0;so;pers;1.0;0.0;Selected;Experiment;Björn;Maribell
88;88;28.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie ihn schätzen gelernt hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian
89;89;29.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er von ihr gefördert wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie
90;90;42.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;er ihr damals das Leben gerettet hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian
91;91;46.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie ihn liebt.;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian
92;92;47.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er durch sie eine bessere Arbeit gefunden hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie
93;93;63.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er immer loyal ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie
94;94;71.0;5.0;12.0;2.0;es;subject;f;Annika respektierte Maximilian seit Jahrzehnten, weil;sie mit ihm über alles sprechen konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Annika;Maximilian
95;95;72.0;6.0;12.0;3.0;es;subject;m;Christian respektierte Marie seit Jahrzehnten, weil;er von ihrem integeren Charakter überzeugt war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christian;Marie
96;96;47.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;ihr finanzielle Situation von ihm sehr verbessert wurde;5.0;so;;;;Selected;Experiment;Bianca;Michael
97;97;8.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er sie mittlerweile richtig gut kannte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike
98;98;29.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;sie von ihm nicht verpetzt wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;Bianca;Michael
99;99;48.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er sie verehrte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike
100;100;58.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er starke Frauen toll findet.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike
101;101;63.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;sie ihn liebte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Bianca;Michael
102;102;66.0;7.0;13.0;3.0;es;subject;m;Christoph schätzte Marike ganz besonders hoch, weil;er gut fand wie sie sich engagierte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christoph;Marike
103;103;72.0;6.0;13.0;2.0;es;subject;f;Bianca schätzte Michael ganz besonders hoch, weil;sie ihm ihr Leben verdankte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Bianca;Michael
104;104;8.0;7.0;14.0;2.0;es;subject;f;Carina sorgte sich um Mirko seit mehreren Tagen, weil;sie sich wegen jeder kleinigkeit sorgen macht.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carina;Mirko
105;105;23.0;8.0;14.0;3.0;es;subject;m;Clemens sorgte sich um Margarethe seit mehreren Tagen, weil;er sie schon lange nicht mehr gesehen hatte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Clemens;Margarethe
106;106;48.0;7.0;14.0;2.0;es;subject;f;Carina sorgte sich um Mirko seit mehreren Tagen, weil;sie ihn mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carina;Mirko
107;107;58.0;7.0;14.0;2.0;es;subject;f;Carina sorgte sich um Mirko seit mehreren Tagen, weil;sie nicht wusste, wo er war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carina;Mirko
108;108;62.0;8.0;14.0;3.0;es;subject;m;Clemens sorgte sich um Margarethe seit mehreren Tagen, weil;er sie sehr mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Clemens;Margarethe
109;109;66.0;7.0;14.0;2.0;es;subject;f;Carina sorgte sich um Mirko seit mehreren Tagen, weil;sie wusste das er verlassen worden war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carina;Mirko
110;110;68.0;8.0;14.0;3.0;es;subject;m;Clemens sorgte sich um Margarethe seit mehreren Tagen, weil;er nichts mehr von ihr gehört hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Clemens;Margarethe
111;111;69.0;8.0;14.0;3.0;es;subject;m;Clemens sorgte sich um Margarethe seit mehreren Tagen, weil;er sie mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Clemens;Margarethe
112;112;2.0;1.0;15.0;3.0;es;subject;m;Daniel verabscheute Marlene schon seit Wochen, weil;er ihr wahres ich erkannt hatte;5.0;so;pers;1.0;0.0;Selected;Experiment;Daniel;Marlene
113;113;10.0;1.0;15.0;3.0;es;subject;m;Daniel verabscheute Marlene schon seit Wochen, weil;er einfach nicht bei ihr landen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Daniel;Marlene
114;114;15.0;1.0;15.0;3.0;es;subject;m;Daniel verabscheute Marlene schon seit Wochen, weil;er immer schlechtere Noten hatte als sie.;5.0;so;pers;1.0;0.0;Selected;Experiment;Daniel;Marlene
115;115;23.0;8.0;15.0;2.0;es;subject;f;Carla verabscheute Moritz schon seit Wochen, weil;sie Arroganz nicht ausstehen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carla;Moritz
116;116;62.0;8.0;15.0;2.0;es;subject;f;Carla verabscheute Moritz schon seit Wochen, weil;sie ihn nicht mochte;5.0;so;pers;1.0;0.0;Selected;Experiment;Carla;Moritz
117;117;67.0;1.0;15.0;3.0;es;subject;m;Daniel verabscheute Marlene schon seit Wochen, weil;er sehr misstrauisch ist;5.0;so;pers;1.0;0.0;Selected;Experiment;Daniel;Marlene
118;118;68.0;8.0;15.0;2.0;es;subject;f;Carla verabscheute Moritz schon seit Wochen, weil;sie seine Art nicht leiden jkonnte;5.0;so;pers;1.0;0.0;Selected;Experiment;Carla;Moritz
119;119;69.0;8.0;15.0;2.0;es;subject;f;Carla verabscheute Moritz schon seit Wochen, weil;sie von ihm versetzt worden war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Carla;Moritz
120;120;1.0;2.0;16.0;3.0;es;subject;m;David verachtete Martha aufs Tiefste, weil;er ihre Frisur nicht leiden konnte;5.0;so;pers;1.0;0.0;Selected;Experiment;David;Martha
121;121;2.0;1.0;16.0;2.0;es;subject;f;Charlotte verachtete Niko aufs Tiefste, weil;sie ihn eben hasste;5.0;so;pers;1.0;0.0;Selected;Experiment;Charlotte;Niko
122;122;10.0;1.0;16.0;2.0;es;subject;f;Charlotte verachtete Niko aufs Tiefste, weil;sie ihm intellektuell meilenweit überlegen war.;5.0;so;pers;1.0;0.0;Selected;Experiment;Charlotte;Niko
123;123;11.0;2.0;16.0;3.0;es;subject;m;David verachtete Martha aufs Tiefste, weil;er von ihr geschlagen wurde.;5.0;so;pers;1.0;0.0;Selected;Experiment;David;Martha
124;124;13.0;2.0;16.0;3.0;es;subject;m;David verachtete Martha aufs Tiefste, weil;er sie nicht mochte.;5.0;so;pers;1.0;0.0;Selected;Experiment;David;Martha
125;125;15.0;1.0;16.0;2.0;es;subject;f;Charlotte verachtete Niko aufs Tiefste, weil;sie nie so gut war wie er.;5.0;so;pers;1.0;0.0;Selected;Experiment;Charlotte;Niko
126;126;61.0;2.0;16.0;3.0;es;subject;m;David verachtete Martha aufs Tiefste, weil;er Unaufrichtigkeit nicht ausstehen konnte.;5.0;so;pers;1.0;0.0;Selected;Experiment;David;Martha
127;127;67.0;1.0;16.0;2.0;es;subject;f;Charlotte verachtete Niko aufs Tiefste, weil;sie eintäuscht ist;5.0;so;pers;1.0;0.0;Selected;Experiment;Charlotte;Niko
128;128;11.0;2.0;17.0;2.0;es;subject;f;Christina verehrte Nikolas seit mehreren Wochen, weil;er sehr gutaussehend ist.;3.0;;;;;Not Selected;Experiment;Christina;Nikolas
129;129;1.0;2.0;17.0;2.0;es;subject;f;Christina verehrte Nikolas seit mehreren Wochen, weil;sie von seinen Fähigkeiten beeindruckt war;5.0;so;pers;1.0;0.0;Selected;Experiment;Christina;Nikolas
130;130;12.0;3.0;17.0;3.0;es;subject;m;Dennis verehrte Mathilde seit mehreren Wochen, weil;er sie bezauberd fand;5.0;so;pers;1.0;0.0;Selected;Experiment;Dennis;Mathilde
131;131;13.0;2.0;17.0;2.0;es;subject;f;Christina verehrte Nikolas seit mehreren Wochen, weil;sie sich so einen perfekten Freund vorstellte.;5.0;so;pers;1.0;0.0;Selected;Experiment;Christina;Nikolas
132;132;14.0;3.0;17.0;3.0;es;subject;m;Dennis verehrte Mathilde seit mehreren Wochen, weil;er in sie verliebt ist.;5.0;so;pers;1.0;0.0;Selected;Experiment;Dennis;Mathilde
