Condition_Code;Connective;Experiment;Gender_NP1;Gender_NP2;Human;Item;List;Prompt;Verbtype;list;ChatGPT
3;weil;1;f;m;Melanie bemitleidete Jacob, weil er so einsam war.;13;3;Melanie bemitleidete Jacob, weil ...;ES;0;Melanie bemitleidete Jacob, weil er seinen Job verloren hatte.
5;sodass;1;f;m;Jennifer gefiel Tobias, sodass sie ihm offen und ehrlich ihre Gefühle mitteilte.;8;3;Jennifer gefiel Tobias, sodass ...;SE;0;Jennifer gefiel Tobias, sodass sie oft gemeinsam Zeit verbrachten und er sich bemühte, sie immer wieder zum Lachen zu bringen.
3;weil;1;f;m;Katharina fürchtete Rüdiger, weil er so unberechenbar war.;15;1;Katharina fürchtete Rüdiger, weil ...;ES;0;Katharina fürchtete Rüdiger, weil er oft wütend und unberechenbar war.
6;sodass;1;m;f;Armin begeisterte Anna, sodass sie sich in ihn verliebte.;11;1;Armin begeisterte Anna, sodass ...;SE;0;Armin begeisterte Anna, sodass sie anfing, regelmäßig mit ihm zu joggen.
7;sodass;1;f;m;Stefanie vertraute Dennis, sodass sie ihren Zweitschlüssel bei ihm lies, sollte sie sich irgendwann aussperren.;16;1;Stefanie vertraute Dennis, sodass ...;ES;0;Stefanie vertraute Dennis, sodass er ihr das Geheimnis anvertraute.
8;sodass;1;m;f;Albert bedauerte Aisha, sodass die beiden über alles reden mussten;20;4;Albert bedauerte Aisha, sodass ...;ES;0;Albert bedauerte Aisha, sodass er beschloss, ihr in dieser schwierigen Situation zu helfen.
1;weil;1;f;m;Aisha erschreckte Albert, weil sie plötzlich aus dem Schatten sprang.;20;4;Aisha erschreckte Albert, weil ...;SE;0;Aisha erschreckte Albert, weil er hinter der Tür plötzlich hervorsprang.
2;weil;1;m;f;Michael enttäuschte Simone, weil er sie betrogen hatte;3;4;Michael enttäuschte Simone, weil ...;SE;0;Michael enttäuschte Simone, weil er ihr Versprechen nicht hielt.
6;sodass;1;m;f;Malte störte Annemarie, sodass sie nun den Satz von vorne schreiben musste.;9;3;Malte störte Annemarie, sodass ...;SE;0;Malte störte Annemarie, sodass sie ihr Buch nicht weiterlesen konnte.
8;sodass;1;m;f;Oliver schätzte Lena, sodass er ihr alles hinterhertrug;7;3;Oliver schätzte Lena, sodass ...;ES;0;Oliver schätzte Lena, sodass er immer ihre Meinungen und Ratschläge suchte.
1;weil;1;f;m;Stefanie entzückte Dennis, weil sie so schöne augen hatte.;16;4;Stefanie entzückte Dennis, weil ...;SE;0;Stefanie entzückte Dennis, weil sie so herzlich und humorvoll war.
4;weil;1;m;f;Rüdiger fürchtete Katharina, weil sie sich als skrupellose Gangsterin erwiesen hatte.;15;2;Rüdiger fürchtete Katharina, weil ...;ES;0;Rüdiger fürchtete Katharina, weil sie immer die Wahrheit herausfand.
5;sodass;1;f;m;Katharina ängstigte Rüdiger, sodass er es für besser hielt Abstand zu halten;15;2;Katharina ängstigte Rüdiger, sodass ...;SE;0;Katharina ängstigte Rüdiger, sodass er sich in sein Zimmer zurückzog.
6;sodass;1;m;f;Robin beeindruckte Adele, sodass sie sich nochmals mit ihm treffen wollte;10;4;Robin beeindruckte Adele, sodass ...;SE;0;Robin beeindruckte Adele, sodass sie ihn bei der nächsten Gelegenheit um ein Date bat.
1;weil;1;f;m;Johanna schockierte Lars, weil sie plötzlich anfing zu erzählen;1;1;Johanna schockierte Lars, weil ...;SE;1;Johanna schockierte Lars, weil sie ihm überraschend ihre Kündigung überreichte.
6;sodass;1;m;f;Alexander erschütterte Alisa, sodass sie Angst vor ihm bekam;19;1;Alexander erschütterte Alisa, sodass ...;SE;1;Alexander erschütterte Alisa, sodass sie keinen klaren Gedanken fassen konnte.
7;sodass;1;f;m;Emma liebte Fritz, sodass sie ihn auf der Stelle heiraten würde.;12;1;Emma liebte Fritz, sodass ...;ES;1;Emma liebte Fritz, sodass sie beschloss, ihm ihre Gefühle zu gestehen.
8;sodass;1;m;f;Fritz liebte Emma, sodass die beiden nach kurzer Zeit heirateten.;12;4;Fritz liebte Emma, sodass ...;ES;1;Fritz liebte Emma, sodass er ihr jeden Tag frische Blumen brachte.
1;weil;1;f;m;Lena überraschte Oliver, weil Sie spontan nach Karlsruhe gekommen war;7;3;Lena überraschte Oliver, weil ...;SE;1;Lena überraschte Oliver, weil sie ihm ein unerwartetes Geschenk machte.
5;sodass;1;f;m;Saskia inspirierte Kevin, sodass er endlich tanzen lernte;4;3;Saskia inspirierte Kevin, sodass ...;SE;1;Saskia inspirierte Kevin, sodass er seinen Traum, Musiker zu werden, verwirklichte.
6;sodass;1;m;f;Tobias gefiel Jennifer, sodass sie immer in seiner Nähe schüchtern wurde.;8;2;Tobias gefiel Jennifer, sodass ...;SE;1;Tobias gefiel Jennifer, sodass er sich entschloss, sie zu einem Date einzuladen.
8;sodass;1;m;f;Yannick himmelte Janina an, sodass sie immer Blumen vo n ihm bekam;14;2;Yannick himmelte Janina an, sodass ...;ES;1;Yannick himmelte Janina an, sodass sie verlegen ihrem Blick auswich.
1;weil;1;f;m;Janina verblüffte Yannick, weil sie gut singen konnte;14;2;Janina verblüffte Yannick, weil ...;SE;1;Janina verblüffte Yannick, weil sie plötzlich fließend Japanisch sprach.
2;weil;1;m;f;Fritz amüsierte Emma, weil er so tollpatschig war.;12;1;Fritz amüsierte Emma, weil ...;SE;1;Fritz amüsierte Emma, weil er ihr lustige Geschichten erzählte.
3;weil;1;f;m;Emma liebte Fritz, weil er ein liebenswerter Mensch ist.;12;2;Emma liebte Fritz, weil ...;ES;1;Emma liebte Fritz, weil er immer für sie da war und ihr das Gefühl von Geborgenheit gab.
4;weil;1;m;f;Daniel misstraute Jana, weil sie ständig log.;6;1;Daniel misstraute Jana, weil ...;ES;1;Daniel misstraute Jana, weil sie ihm einmal gelogen hatte.
1;weil;1;f;m;Martha bezauberte Tim, weil sie so natürlich war.;5;1;Martha bezauberte Tim, weil ...;SE;1;Martha bezauberte Tim, weil sie ein herzliches Lächeln und eine warmherzige Ausstrahlung hatte.
5;sodass;1;f;m;Aisha erschreckte Albert, sodass er das Wasser verschüttete;20;3;Aisha erschreckte Albert, sodass ...;SE;1;Aisha erschreckte Albert, sodass er laut aufschrie und den Stift fallen ließ.
6;sodass;1;m;f;Lars schockierte Johanna, sodass sie nun immer noch Lars meidet.;1;3;Lars schockierte Johanna, sodass ...;SE;1;Lars schockierte Johanna, sodass sie sprachlos dastand.
7;sodass;1;f;m;Marike vermisste Felix, sodass sie ihm viele Nachrichten schrieb;17;2;Marike vermisste Felix, sodass ...;ES;1;Marike vermisste Felix, sodass sie ihm jeden Tag schrieb.
4;weil;1;m;f;Lars verachtete Johanna, weil sie keine Tiere achtet;1;4;Lars verachtete Johanna, weil ...;ES;1;Lars verachtete Johanna, weil sie ihn betrogen hatte.
6;sodass;1;m;f;Fritz amüsierte Emma, sodass sie sich ein Lächeln verkneifen musste.;12;2;Fritz amüsierte Emma, sodass ...;SE;1;Fritz amüsierte Emma, sodass sie laut zu lachen begann.
7;sodass;1;f;m;Lena schätzte Oliver, sodass Sie ihm das mitteilte;7;4;Lena schätzte Oliver, sodass ...;ES;1;Lena schätzte Oliver, sodass sie ihm immer vertraute.
8;sodass;1;m;f;Dennis vertraute Stefanie, sodass er ihr erzählte, dass er heimlich in Steffen verliebt war;16;4;Dennis vertraute Stefanie, sodass ...;ES;1;Dennis vertraute Stefanie, sodass sie ihm das Geheimnis anvertraute.
5;sodass;1;f;m;Marike irritierte Felix, sodass es einer Klärung bedarf;17;4;Marike irritierte Felix, sodass ...;SE;1;Marike irritierte Felix, sodass er das Gespräch abrupt beendete.
6;sodass;1;m;f;Jacob langweilte Melanie, sodass sie gähnte;13;3;Jacob langweilte Melanie, sodass ...;SE;1;Jacob langweilte Melanie, sodass sie anfing, auf ihr Handy zu schauen.
7;sodass;1;f;m;Marie ekelte sich vor Klaus, sodass Sie versuchte, ihm nicht zu nahe zu kommen!;18;3;Marie ekelte sich vor Klaus, sodass ...;ES;1;Marie ekelte sich vor Klaus, sodass sie ihn fortan mied.
8;sodass;1;m;f;Michael verabscheute Simone, sodass er sie hasste;3;3;Michael verabscheute Simone, sodass ...;ES;1;Michael verabscheute Simone, sodass er jede Gelegenheit mied, mit ihr Zeit zu verbringen.
3;weil;1;f;m;Aisha bedauerte Albert, weil er arm war.;20;2;Aisha bedauerte Albert, weil ...;ES;1;Aisha bedauerte Albert, weil er seine Harmonikasaite gerissen hatte.
5;sodass;1;f;m;Melanie langweilte Jacob, sodass er ihrer zusehends überdrüssig wurde.;13;4;Melanie langweilte Jacob, sodass ...;SE;1;Melanie langweilte Jacob, sodass er ständig auf sein Telefon schaute.
7;sodass;1;f;m;Johanna verachtete Lars, sodass die beiden nicht gut miteinander klar kamen;1;2;Johanna verachtete Lars, sodass ...;ES;1;Johanna verachtete Lars, sodass sie ihn nicht zu ihrer Feier einlud.
8;sodass;1;m;f;Alexander sorgte sich um Alisa, sodass sie versuchte lockerer zu werden.;19;3;Alexander sorgte sich um Alisa, sodass ...;ES;1;Alexander sorgte sich um Alisa, sodass er ständig nach ihr schaute und versuchte, ihr zu helfen, wo immer er konnte.
1;weil;1;f;m;Annemarie störte Malte, weil sie nicht schlafen konnte;9;1;Annemarie störte Malte, weil ...;SE;1;Annemarie störte Malte, weil sie laut Musik hörte.
4;weil;1;m;f;Yannick himmelte Janina an, weil sie die Tante war die immer so lusteige Ideen haattte;14;1;Yannick himmelte Janina an, weil ...;ES;1;Yannick himmelte Janina an, weil sie so herzlich und klug war.
5;sodass;1;f;m;Janina verblüffte Yannick, sodass sie stolz auf sich war;14;1;Janina verblüffte Yannick, sodass ...;SE;1;Janina verblüffte Yannick, sodass er sprachlos war.
7;sodass;1;f;m;Anna bewunderte Armin, sodass sie die Party gemeinsam verliesen;11;4;Anna bewunderte Armin, sodass ...;ES;1;Anna bewunderte Armin, sodass sie beschloss, ihm ein Geschenk zu machen.
3;weil;1;f;m;Saskia respektierte Kevin, weil er immer zu seinem Wort stand.;4;2;Saskia respektierte Kevin, weil ...;ES;1;Saskia respektierte Kevin, weil er immer ehrlich und zuverlässig war.
5;sodass;1;f;m;Martha bezauberte Tim, sodass sie mit ihm essen geht;5;4;Martha bezauberte Tim, sodass ...;SE;1;Martha bezauberte Tim, sodass er die Zeit völlig vergaß.
6;sodass;1;m;f;Yannick verblüffte Janina, sodass er ihr ihre Ãœberraschung richtig ansehen konnte.;14;4;Yannick verblüffte Janina, sodass ...;SE;1;Yannick verblüffte Janina, sodass sie vor Staunen sprachlos war.
7;sodass;1;f;m;Katharina fürchtete Rüdiger, sodass sie sich ständig beobachtet fühlte.;15;4;Katharina fürchtete Rüdiger, sodass ...;ES;1;Katharina fürchtete Rüdiger, sodass sie ihm aus dem Weg ging.
1;weil;1;f;m;Anna begeisterte Armin, weil sie jeden Tag Sport machte und das mit ihrem vollen TagesAblauf;11;3;Anna begeisterte Armin, weil ...;SE;1;Anna begeisterte Armin, weil sie ihm ein selbstgemaltes Bild schenkte.
4;weil;1;m;f;Armin bewunderte Anna, weil sie trotz ihrer Krankheit das Leben in vollen Zügeb genießen konnte.;11;2;Armin bewunderte Anna, weil ...;ES;1;Armin bewunderte Anna, weil sie immer hilfsbereit und freundlich war.
7;sodass;1;f;m;Janina himmelte Yannick an, sodass er genervt war.;14;3;Janina himmelte Yannick an, sodass ...;ES;1;Janina himmelte Yannick an, sodass sie seine Aufmerksamkeit gewinnen wollte.
8;sodass;1;m;f;Armin bewunderte Anna, sodass er ihr dies ganz offen sagte.;11;3;Armin bewunderte Anna, sodass ...;ES;1;Armin bewunderte Anna, sodass er ihr jeden Wunsch von den Augen ablas.
1;weil;1;f;m;Saskia inspirierte Kevin, weil sie faszinierend war;4;4;Saskia inspirierte Kevin, weil ...;SE;1;Saskia inspirierte Kevin, weil sie ihm zeigte, dass man durch harte Arbeit und Entschlossenheit seine Träume verwirklichen kann.
2;weil;1;m;f;Felix irritierte Marike, weil er ihr immer etwas anderes erzählte;17;2;Felix irritierte Marike, weil ...;SE;1;Felix irritierte Marike, weil er ständig Witze machte, die sie nicht verstand.
4;weil;1;m;f;Patrick verehrte Anastasia, weil sie viel Geld hatte;2;1;Patrick verehrte Anastasia, weil ...;ES;1;Patrick verehrte Anastasia, weil sie ihm stets mit Weisheit und Güte zur Seite stand.
7;sodass;1;f;m;Melanie bemitleidete Jacob, sodass er sich vorgenommen hat sich mehr anzustrengen.;13;2;Melanie bemitleidete Jacob, sodass ...;ES;1;Melanie bemitleidete Jacob, sodass sie beschloss, ihm zu helfen.
2;weil;1;m;f;Tim bezauberte Martha, weil Er sehr gut tanzen konnte.;5;2;Tim bezauberte Martha, weil ...;SE;1;Tim bezauberte Martha, weil er so charmant und witzig war.
6;sodass;1;m;f;Daniel verwirrte Jana, sodass sie ihm ein Sandwich mit Holz belegte.;6;4;Daniel verwirrte Jana, sodass ...;SE;1;Daniel verwirrte Jana, sodass sie nicht wusste, wie sie reagieren sollte.
7;sodass;1;f;m;Saskia respektierte Kevin, sodass Er ihr alles auftischen konnte.;4;1;Saskia respektierte Kevin, sodass ...;ES;1;Saskia respektierte Kevin, sodass sie seine Meinung in allen wichtigen Entscheidungen berücksichtigte.
8;sodass;1;m;f;Felix vermisste Marike, sodass er begann, seltsame Eigenheiten zu entwickeln, um den Verlust zu kompensieren;17;1;Felix vermisste Marike, sodass ...;ES;1;Felix vermisste Marike, sodass er jeden Tag an sie dachte und ihr schließlich einen Brief schrieb.
1;weil;1;f;m;Simone enttäuschte Michael, weil sie seinen Geburtstag vergessen hatte.;3;3;Simone enttäuschte Michael, weil ...;SE;1;Simone enttäuschte Michael, weil sie ihr Versprechen nicht gehalten hat.
