Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Human;ChatGPT
1189;Liste4;20;29;f;deutsch;nein;rechts;49;4;<id: item 49, condition 4>;Die Nina erfreute den Armin beim gemeinsamen Training in höchstem Maße, weil ;ihr Top immer ziemlich eng geschnitten war.;0-poss;subjekt;poss;;14056042566258.0;;;;;Die Nina erfreute den Armin beim gemeinsamen Training in höchstem Maße, weil ihr Top immer ziemlich eng geschnitten war.;Die Nina erfreute den Armin beim gemeinsamen Training in höchstem Maße, weil 
405;Liste4;7;22;m;deutsch;nein;rechts;45;4;<id: item 45, condition 4>;Die Annika erschütterte den Pascal vor wenigen Tagen in außerordentlich starkem Maße, weil ;sie einen Mann aus dem Norden kennengelernt hatte.;1;subjekt;pers;;14055949348007.0;;;;;Die Annika erschütterte den Pascal vor wenigen Tagen in außerordentlich starkem Maße, weil sie einen Mann aus dem Norden kennengelernt hatte.;Die Annika erschütterte den Pascal vor wenigen Tagen in außerordentlich starkem Maße, weil 
1187;Liste4;20;29;f;deutsch;nein;rechts;47;2;<id: item 47, condition 2>;Die Lea enttäuschte den Christoph durch fremdenfeindliche Witze und Parolen, weil ;Christoph immer dachte, Lea sei eine kluge Frau.;1;objekt;name;;1405605232713.0;;;;;Die Lea enttäuschte den Christoph durch fremdenfeindliche Witze und Parolen, weil Christoph immer dachte, Lea sei eine kluge Frau.;Die Lea enttäuschte den Christoph durch fremdenfeindliche Witze und Parolen, weil 
649;Liste1;11;25;m;deutsch;nein;rechts;49;1;<id: item 49, condition 1>;Der Armin erfreute die Nina durch ein Kompliment über die sportliche Figur, weil ;sie vorher dick war und lange und hart dafür trainiert hat, diese Figur zu bekommen.;1;objekt;pers;;14055081111316.0;;;;;Der Armin erfreute die Nina durch ein Kompliment über die sportliche Figur, weil sie vorher dick war und lange und hart dafür trainiert hat, diese Figur zu bekommen.;Der Armin erfreute die Nina durch ein Kompliment über die sportliche Figur, weil 
787;Liste3;14;24;m;deutsch;nein;rechts;7;1;<id: item 7, condition 1>;Der Jan fürchtete die Franziska wegen der fiesen Kommentare über die Pickel im Gesicht, weil ;sie sein Selbstvertrauen im Kern erschütterten.;0-poss;subjekt;poss;;1405597283082.0;;;;;Der Jan fürchtete die Franziska wegen der fiesen Kommentare über die Pickel im Gesicht, weil sie sein Selbstvertrauen im Kern erschütterten.;Der Jan fürchtete die Franziska wegen der fiesen Kommentare über die Pickel im Gesicht, weil 
770;Liste4;13;19;f;deutsch;nein;rechts;50;3;<id: item 50, condition 3>;Der Yannik erschreckte die Annalena vor wenigen Minuten äußerst heftig, weil ;er aus heiterem Himmel anfing wie am Spieß zu brüllen.;1;subjekt;pers;;14055084818456.0;;;;;Der Yannik erschreckte die Annalena vor wenigen Minuten äußerst heftig, weil er aus heiterem Himmel anfing wie am Spieß zu brüllen.;Der Yannik erschreckte die Annalena vor wenigen Minuten äußerst heftig, weil 
2081;Liste1;35;24;m;deutsch;nein;rechts;41;1;<id: item 41, condition 1>;Der Fabian amüsierte die Amelia durch das Erzählen von Witzen über Kollegen, weil ;dieser sehr sonderbar aussieht und nicht zu den anderen passt;ns;  ; ;;14056014499463.0;;;;;Der Fabian amüsierte die Amelia durch das Erzählen von Witzen über Kollegen, weil dieser sehr sonderbar aussieht und nicht zu den anderen passt;Der Fabian amüsierte die Amelia durch das Erzählen von Witzen über Kollegen, weil 
287;Liste2;5;31;m;deutsch;nein;rechts;47;4;<id: item 47, condition 4>;Die Lea enttäuschte den Christoph bei dieser Begegnung auf das Allerheftigste, weil ;sie sein Kind dumm nannte.;1;subjekt;pers;;14056048620322.0;1;subjekt;pers;;Die Lea enttäuschte den Christoph bei dieser Begegnung auf das Allerheftigste, weil sie sein Kind dumm nannte.;Die Lea enttäuschte den Christoph bei dieser Begegnung auf das Allerheftigste, weil 
1426;Liste1;24;19;m;deutsch;nein;rechts;46;4;<id: item 46, condition 4>;Die Marlene bezauberte den Timo auf fast schon magische Art und Weise, weil ;sie gemeinsam mit ihm nackt badete.;2;subjekt;pers;;14055965459549.0;;;;;Die Marlene bezauberte den Timo auf fast schon magische Art und Weise, weil sie gemeinsam mit ihm nackt badete.;Die Marlene bezauberte den Timo auf fast schon magische Art und Weise, weil 
1457;Liste1;25;37;f;deutsch;nein;rechts;17;1;<id: item 17, condition 1>;Der Stephan verehrte die Nadine für die Entwürfe der neuen Kollektion, weil ;er noch nie so schöne Kleider gesehen hatte.;1;subjekt;pers;;14055103706665.0;;;;;Der Stephan verehrte die Nadine für die Entwürfe der neuen Kollektion, weil er noch nie so schöne Kleider gesehen hatte.;Der Stephan verehrte die Nadine für die Entwürfe der neuen Kollektion, weil 
111;Liste3;2;20;f;deutsch;nein;rechts;51;1;<id: item 51, condition 1>;Der Benedikt erstaunte die Heidi durch ein Jonglierkunststück mit sieben Bällen, weil ;sie fand dass es sehr schwierig aussah. ;1;objekt;pers;;1405606086.07;1;objekt;pers;;Der Benedikt erstaunte die Heidi durch ein Jonglierkunststück mit sieben Bällen, weil sie fand dass es sehr schwierig aussah. ;Der Benedikt erstaunte die Heidi durch ein Jonglierkunststück mit sieben Bällen, weil 
798;Liste3;14;24;m;deutsch;nein;rechts;18;2;<id: item 18, condition 2>;Die Maja vergötterte den Dennis für die unglaubliche Stimme, weil ;sie selbst stumm ist.;1;subjekt;pers;;14055983671446.0;;;;;Die Maja vergötterte den Dennis für die unglaubliche Stimme, weil sie selbst stumm ist.;Die Maja vergötterte den Dennis für die unglaubliche Stimme, weil 
772;Liste4;13;19;f;deutsch;nein;rechts;52;1;<id: item 52, condition 1>;Der Benjamin faszinierte die Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil ;sie ihm so etwas gar nicht zugetraut hatte.;2;objekt;pers;;14055086636561.0;;;;;Der Benjamin faszinierte die Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil sie ihm so etwas gar nicht zugetraut hatte.;Der Benjamin faszinierte die Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil 
178;Liste1;3;35;m;deutsch;nein;rechts;58;4;<id: item 58, condition 4>;Die Helene überraschte den Ramon vorgestern Nachmittag in allerhöchstem Maße, weil ;sie den arbeitsablauf mit wenigen handgriffen stark optimiert hat;1;subjekt;pers;;14061192930925.0;1;subjekt;pers;;Die Helene überraschte den Ramon vorgestern Nachmittag in allerhöchstem Maße, weil sie den arbeitsablauf mit wenigen handgriffen stark optimiert hat;Die Helene überraschte den Ramon vorgestern Nachmittag in allerhöchstem Maße, weil 
1907;Liste1;32;24;f;deutsch;nein;rechts;47;3;<id: item 47, condition 3>;Der Christoph enttäuschte die Lea bei dieser Begegnung auf das Allerheftigste, weil ;er sein Kind geschlagen hatte.;1;subjekt;pers;;14055943207427.0;;;;;Der Christoph enttäuschte die Lea bei dieser Begegnung auf das Allerheftigste, weil er sein Kind geschlagen hatte.;Der Christoph enttäuschte die Lea bei dieser Begegnung auf das Allerheftigste, weil 
846;Liste2;15;24;f;deutsch;nein;rechts;6;1;<id: item 6, condition 1>;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil ;sie sich nicht einmal die Hände davor wäscht.;1;objekt;pers;;14056012063754.0;;;;;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil sie sich nicht einmal die Hände davor wäscht.;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil 
909;Liste3;16;21;f;deutsch;nein;rechts;9;3;<id: item 9, condition 3>;Der Marcel liebte die Anja aus der gesamten Verwandtschaft am Allermeisten, weil ;sie für ihn immer die schönsten Lieder sang.;2;objekt;pers;;1405507644.91;;;;;Der Marcel liebte die Anja aus der gesamten Verwandtschaft am Allermeisten, weil sie für ihn immer die schönsten Lieder sang.;Der Marcel liebte die Anja aus der gesamten Verwandtschaft am Allermeisten, weil 
107;Liste3;2;20;f;deutsch;nein;rechts;47;1;<id: item 47, condition 1>;Der Christoph enttäuschte die Lea durch fremdenfeindliche Witze und Parolen, weil ;sie ihn für freundlich gehalten hatte aber sie Fremdenhass für bescheuert hält. ;2;objekt;pers;;14056055889591.0;2;objekt;pers;;Der Christoph enttäuschte die Lea durch fremdenfeindliche Witze und Parolen, weil sie ihn für freundlich gehalten hatte aber sie Fremdenhass für bescheuert hält. ;Der Christoph enttäuschte die Lea durch fremdenfeindliche Witze und Parolen, weil 
762;Liste4;13;19;f;deutsch;nein;rechts;42;3;<id: item 42, condition 3>;Der Leon ängstigte die Anne in hohem Grade seit Beginn der Sommerferien, weil ;er sich stark verändert hatte und so aussah, als habe er Probleme, über die er allerdings nicht sprach.;1;subjekt;pers;;14055079587705.0;;;;;Der Leon ängstigte die Anne in hohem Grade seit Beginn der Sommerferien, weil er sich stark verändert hatte und so aussah, als habe er Probleme, über die er allerdings nicht sprach.;Der Leon ängstigte die Anne in hohem Grade seit Beginn der Sommerferien, weil 
731;Liste4;13;19;f;deutsch;nein;rechts;11;2;<id: item 11, condition 2>;Die Eva mochte den Mark für den toleranten Umgang mit Fremden, weil ;das negative Gegenbeispiel anderer Konferenzteilnehmer sie geradezu abgestoßen hatte.;1;subjekt;pers;;14055080848741.0;1;subjekt;pers;;Die Eva mochte den Mark für den toleranten Umgang mit Fremden, weil das negative Gegenbeispiel anderer Konferenzteilnehmer sie geradezu abgestoßen hatte.;Die Eva mochte den Mark für den toleranten Umgang mit Fremden, weil 
1381;Liste1;24;19;m;deutsch;nein;rechts;1;1;<id: item 1, condition 1>;Der Bastian achtete die Elena für das Engagement im Umweltschutz, weil ;unausfüllbar;nf;;;;14055980171756.0;nf;;;;Der Bastian achtete die Elena für das Engagement im Umweltschutz, weil unausfüllbar;Der Bastian achtete die Elena für das Engagement im Umweltschutz, weil 
401;Liste4;7;22;m;deutsch;nein;rechts;41;4;<id: item 41, condition 4>;Die Amelia amüsierte den Fabian von den Institutsangehörigen am Meisten, weil ;sie so wunderbar rechnen kann.;1;subjekt;pers;;1405594399798.0;;;;;Die Amelia amüsierte den Fabian von den Institutsangehörigen am Meisten, weil sie so wunderbar rechnen kann.;Die Amelia amüsierte den Fabian von den Institutsangehörigen am Meisten, weil 
1156;Liste4;20;29;f;deutsch;nein;rechts;16;1;<id: item 16, condition 1>;Der Daniel verachtete die Jacqueline für die Respektlosigkeit gegenüber den Mitgliedern, weil ;er es nicht mag, wenn man hintenrum über Leute lästert.;1;subjekt;pers;;1405604802081.0;;;;;Der Daniel verachtete die Jacqueline für die Respektlosigkeit gegenüber den Mitgliedern, weil er es nicht mag, wenn man hintenrum über Leute lästert.;Der Daniel verachtete die Jacqueline für die Respektlosigkeit gegenüber den Mitgliedern, weil 
171;Liste1;3;35;m;deutsch;nein;rechts;51;3;<id: item 51, condition 3>;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil ;er einen im geheimen geübten trick vorführte;1;subjekt;pers;;14061193155845.0;;;;;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil er einen im geheimen geübten trick vorführte;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil 
824;Liste3;14;24;m;deutsch;nein;rechts;44;4;<id: item 44, condition 4>;Die Leonie begeisterte den Nikolas neulich bei einem Grillfest in der Nachbarschaft, weil ;sie wunderbare eingelegte Zucchini mitgebracht hatte.;1;subjekt;pers;;14055975790815.0;;;;;Die Leonie begeisterte den Nikolas neulich bei einem Grillfest in der Nachbarschaft, weil sie wunderbare eingelegte Zucchini mitgebracht hatte.;Die Leonie begeisterte den Nikolas neulich bei einem Grillfest in der Nachbarschaft, weil 
1503;Liste3;26;26;f;deutsch;nein;rechts;3;1;<id: item 3, condition 1>;Der Patrick bemitleidete die Sonja wegen der starken Grippe mit hohem Fieber, weil ;er weiß, wie schade es ist nicht an einemn Ausflug teilnehmen zu können.;1;subjekt;pers;;14055101222894.0;1;subjekt;pers;;Der Patrick bemitleidete die Sonja wegen der starken Grippe mit hohem Fieber, weil er weiß, wie schade es ist nicht an einemn Ausflug teilnehmen zu können.;Der Patrick bemitleidete die Sonja wegen der starken Grippe mit hohem Fieber, weil 
1320;Liste3;22;20;f;deutsch;nein;rechts;60;4;<id: item 60, condition 4>;Die Paula verwirrte den Manuel während der dreiviertelstündigen Mittagspause durch und durch, weil ;er sie anders eingeschätzt hatte.;2;objekt;pers;;14055084287398.0;;;;;Die Paula verwirrte den Manuel während der dreiviertelstündigen Mittagspause durch und durch, weil er sie anders eingeschätzt hatte.;Die Paula verwirrte den Manuel während der dreiviertelstündigen Mittagspause durch und durch, weil 
367;Liste4;7;22;m;deutsch;nein;rechts;7;2;<id: item 7, condition 2>;Die Franziska fürchtete den Jan wegen der fiesen Kommentare über die Pickel im Gesicht, weil ;sie in derHinsichtsehr empfindlich ist.;1;subjekt;pers;;14055939271618.0;;;;;Die Franziska fürchtete den Jan wegen der fiesen Kommentare über die Pickel im Gesicht, weil sie in derHinsichtsehr empfindlich ist.;Die Franziska fürchtete den Jan wegen der fiesen Kommentare über die Pickel im Gesicht, weil 
788;Liste3;14;24;m;deutsch;nein;rechts;8;4;<id: item 8, condition 4>;Die Jasmin hasste den Christian seit mehreren Wochen aus tiefstem Herzen, weil ;er einen Ãœberschlag machen konnte.;1;objekt;pers;;14055976091923.0;;;;;Die Jasmin hasste den Christian seit mehreren Wochen aus tiefstem Herzen, weil er einen Ãœberschlag machen konnte.;Die Jasmin hasste den Christian seit mehreren Wochen aus tiefstem Herzen, weil 
786;Liste3;14;24;m;deutsch;nein;rechts;6;2;<id: item 6, condition 2>;Die Ellen ekelte sich vor dem Michael wegen der mangelnden Hygiene vor den OPs, weil ;er sich nach dem Pissen nie die Hände wusch.;1;objekt;pers;;14055978406886.0;1;objekt;pers;;Die Ellen ekelte sich vor dem Michael wegen der mangelnden Hygiene vor den OPs, weil er sich nach dem Pissen nie die Hände wusch.;Die Ellen ekelte sich vor dem Michael wegen der mangelnden Hygiene vor den OPs, weil 
486;Liste1;9;22;m;deutsch;nein;rechts;6;4;<id: item 6, condition 4>;Die Ellen ekelte sich vor dem Michael schon seit geraumer Zeit bis aufs Äußerste, weil ;er sich nie die Hände desinfizierte;1;objekt;pers;;14056037618949.0;;;;;Die Ellen ekelte sich vor dem Michael schon seit geraumer Zeit bis aufs Äußerste, weil er sich nie die Hände desinfizierte;Die Ellen ekelte sich vor dem Michael schon seit geraumer Zeit bis aufs Äußerste, weil 
484;Liste1;9;22;m;deutsch;nein;rechts;4;2;<id: item 4, condition 2>;Die Saskia beneidete den Martin um die guten Kontakte zum Management, weil ;sie selbst keine hatte;1;subjekt;pers;;14056045498815.0;;;;;Die Saskia beneidete den Martin um die guten Kontakte zum Management, weil sie selbst keine hatte;Die Saskia beneidete den Martin um die guten Kontakte zum Management, weil 
970;Liste2;17;22;f;deutsch;nein;rechts;10;1;<id: item 10, condition 1>;Der Steffen misstraute der Jessica wegen der Spendenaffäre im Herbst, weil ;sie Geld unterschlagen hatte.;1;objekt;pers;;14055077019101.0;;;;;Der Steffen misstraute der Jessica wegen der Spendenaffäre im Herbst, weil sie Geld unterschlagen hatte.;Der Steffen misstraute der Jessica wegen der Spendenaffäre im Herbst, weil 
