index;Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Continuation_Item;prompt;np1gender;NP1;NP2;verbclass;verb;RunCondition;Human;ChatGPT
1851;1852;Liste4;31;27;f;deutsch;Türkisch;rechts;52;1;<id: item 52, condition 1>;Der Benjamin faszinierte die Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil ;sie ihn sonst nie so ausgelassen erlebt, sondern eher steiff und schüchtern.;2;objekt;pers;;1405512051816.0;;;;;392;Benjamin faszinierte Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil;m;Benjamin;Judit;se;faszinierte;2;sie ihn sonst nie so ausgelassen erlebt, sondern eher steiff und schüchtern.;er sich mühelos zur Musik bewegte und eine ansteckende Freude ausstrahlte.
1805;1806;Liste4;31;27;f;deutsch;Türkisch;rechts;6;3;<id: item 6, condition 3>;Der Michael ekelte sich vor der Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;er sie im Pausenraum erwischte, wie sie mit dem Finger in ihrer Nase bohrte.;2;subjekt;pers;;14055105859925.0;;;;;366;Michael ekelte sich vor Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;m;Michael;Elle;es;ekelte sich vor;4;er sie im Pausenraum erwischte, wie sie mit dem Finger in ihrer Nase bohrte.;sie ständig ungefragt in seinen persönlichen Angelegenheiten herumschnüffelte.
1549;1550;Liste3;26;26;f;deutsch;nein;rechts;50;2;<id: item 50, condition 2>;Die Annalena erschreckte den Yannik durch irre Grimassen und Schreie, weil ;er sie vorher geärgert hatte.;2;objekt;pers;;1405509872481.0;;;;;270;Annalena erschreckte Yannik durch irre Grimassen und Schreie, weil;f;Annalena;Yanni;se;erschreckte;1;er sie vorher geärgert hatte.;sie ihn für seinen Streich beim letzten Treffen revanchieren wollte.
1695;1696;Liste4;29;20;f;deutsch;nein;rechts;16;1;<id: item 16, condition 1>;Der Daniel verachtete die Jacqueline für die Respektlosigkeit gegenüber den Mitgliedern, weil ;sie immer meint, sie sei die Chefin.;1;objekt;pers;;14055943629935.0;;;;;336;Daniel verachtete Jacqueline für die Respektlosigkeit gegenüber den Mitgliedern, weil;m;Daniel;Jacquelin;es;verachtete;2;sie immer meint, sie sei die Chefin.;sie deren Meinungen stets ignorierte und ihre Beiträge abwertend kommentierte.
1379;1380;Liste2;23;22;m;deutsch;nein;rechts;60;3;<id: item 60, condition 3>;Der Manuel verwirrte die Paula während der dreiviertelstündigen Mittagspause durch und durch, weil ;er den Kuchen, den es gab, nicht von der Spitze, sondern vom Rand her aß.;1;subjekt;pers;;14055969519829.0;;;;;200;Manuel verwirrte Paula während der dreiviertelstündigen Mittagspause durch und durch, weil;m;Manuel;Paul;se;verwirrte;4;er den Kuchen, den es gab, nicht von der Spitze, sondern vom Rand her aß.;er plötzlich in einem Dialekt sprach, den sie zuvor noch nie gehört hatte.
1398;1399;Liste1;24;19;m;deutsch;nein;rechts;19;3;<id: item 19, condition 3>;Der David vermisste die Luise besonders oft an den lauen Sommerabenden, weil ;sie an lauen Sommerabenden oft Eis essen waren.;pl;;;;14055977696835.0;;;;;219;David vermisste Luise besonders oft an den lauen Sommerabenden, weil;m;David;Luis;es;vermisste;4;sie an lauen Sommerabenden oft Eis essen waren.;er sich an die gemeinsamen Spaziergänge und Gespräche erinnerte, die ihnen so viel Freude bereitet hatten.
1909;1910;Liste1;32;24;f;deutsch;nein;rechts;50;4;<id: item 50, condition 4>;Die Annalena erschreckte den Yannik vor wenigen Minuten äußerst heftig, weil ;sie eine Geistermaske auf hatte.;1;subjekt;pers;;14055928480405.0;;;;;430;Annalena erschreckte Yannik vor wenigen Minuten äußerst heftig, weil;f;Annalena;Yanni;se;erschreckte;3;sie eine Geistermaske auf hatte.;er sich in einen spannenden Film vertieft hatte und nichts anderes um sich herum wahrnahm.
1337;1338;Liste2;23;22;m;deutsch;nein;rechts;18;1;<id: item 18, condition 1>;Der Dennis vergötterte die Maja für die unglaubliche Stimme, weil ;sie singt, wie eine seiner Lieblingssängerinnen.;1;objekt;pers;;1405597804.89;;;;;178;Dennis vergötterte Maja für die unglaubliche Stimme, weil;m;Dennis;Maj;es;vergötterte;2;sie singt, wie eine seiner Lieblingssängerinnen.;sie mit ihrer Musik alle im Raum in ihren Bann ziehen konnte.
0;1;Liste4;1;24;m;deutsch;nein;rechts;1;4;<id: item 1, condition 4>;Die Elena achtete den Bastian mehr als jeden anderen WG-Mitbewohner, weil ;er stets ein offenes Ohr für sie hatte.;2;objekt;pers;;14055981425731.0;;;;;1;Elena achtete Bastian mehr als jeden anderen WG-Mitbewohner, weil;f;Elena;Bastia;es;achtete;3;er stets ein offenes Ohr für sie hatte.;er immer hilfsbereit und freundlich war.
1916;1917;Liste1;32;24;f;deutsch;nein;rechts;57;1;<id: item 57, condition 1>;Der Max störte die Kathrin durch das laute Gekreische an einer Engstelle, weil ;eine Fledermaus auf ihn zugeflogen kam.;1;subjekt;pers;;14055937335964.0;1;subjekt;pers;;437;Max störte Kathrin durch das laute Gekreische an einer Engstelle, weil;m;Max;Kathri;se;störte;2;eine Fledermaus auf ihn zugeflogen kam.;sie sich gerade konzentrieren musste.
253;254;Liste2;5;31;m;deutsch;nein;rechts;14;1;<id: item 14, condition 1>;Der Florian sorgte sich um die Melanie wegen des hohen Alkoholkonsums, weil;dies zu Leberschäden führen kann.;0;;;;14056045182449.0;0;;;;54;Florian sorgte sich um Melanie wegen des hohen Alkoholkonsums, weil;m;Florian;Melani;es;sorgte sich um;2;dies zu Leberschäden führen kann.;er befürchtete, dass es ihrer Gesundheit schaden könnte.
1679;1680;Liste1;28;22;f;deutsch;nein;rechts;60;2;<id: item 60, condition 2>;Die Paula verwirrte den Manuel durch eine unverständliche Erklärung über Computer Betriebssysteme, weil ;er nicht besonders klug ist;1;objekt;pers;;14055955881474.0;;;;;320;Paula verwirrte Manuel durch eine unverständliche Erklärung über Computer Betriebssysteme, weil;f;Paula;Manue;se;verwirrte;1;er nicht besonders klug ist;sie viele technische Begriffe verwendete, die er nicht kannte.
476;477;Liste2;8;25;f;deutsch;nein;rechts;57;2;<id: item 57, condition 2>;Die Kathrin störte den Max durch das laute Gekreische an einer Engstelle, weil ;er starke Kopfschmerzen hatte.;1;objekt;pers;;14055090164481.0;;;;;117;Kathrin störte Max durch das laute Gekreische an einer Engstelle, weil;f;Kathrin;Ma;se;störte;1;er starke Kopfschmerzen hatte.;er sich nicht mehr konzentrieren konnte und beinahe den Faden verlor.
2152;2153;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;53;3;<id: item 53, condition 3>;Der Thomas inspirierte die Rosa in hohem Maße bei einem neulich stattgefundenen Treffen, weil ;er ihr sein ausgezeichnetes Projekt präsentierte.;2;subjekt;pers;;14056034511568.0;;;;;473;Thomas inspirierte Rosa in hohem Maße bei einem neulich stattgefundenen Treffen, weil;m;Thomas;Ros;se;inspirierte;4;er ihr sein ausgezeichnetes Projekt präsentierte.;sie von seinen kreativen Ideen und seiner leidenschaftlichen Herangehensweise beeindruckt war.
1631;1632;Liste1;28;22;f;deutsch;nein;rechts;12;2;<id: item 12, condition 2>;Die Katharina respektierte den Peter für die sachliche Art zu diskutieren, weil ;das an der VHS eine Seltenheit ist;0;;;;14055954940285.0;0;;;;292;Katharina respektierte Peter für die sachliche Art zu diskutieren, weil;f;Katharina;Pete;es;respektierte;1;das an der VHS eine Seltenheit ist;sie seine fundierten Argumente schätzte und er stets offen für Gegenmeinungen war.
2105;2106;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;6;2;<id: item 6, condition 2>;Die Ellen ekelte sich vor dem Michael wegen der mangelnden Hygiene vor den OPs, weil;er sich die Hände dabei nicht waschte.;1;objekt;pers;;14056022940285.0;;;;;446;Ellen ekelte sich vor Michael wegen der mangelnden Hygiene vor den OPs, weil;f;Ellen;Michae;es;ekelte sich vor;1;er sich die Hände dabei nicht waschte.;er sich nie die Hände wusch und oft mit ungewaschenem Kittel erschien.
51;52;Liste4;1;24;m;deutsch;nein;rechts;52;1;<id: item 52, condition 1>;Der Benjamin faszinierte die Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil ;sie dem etwas drögen Benjamin so etwas gar nicht zugetraut hätte.;2;objekt;pers;;14055989056125.0;;;;;32;Benjamin faszinierte Judith durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil;m;Benjamin;Judit;se;faszinierte;2;sie dem etwas drögen Benjamin so etwas gar nicht zugetraut hätte.;er mit einer ansteckenden Energie und einer unvergleichlichen Leichtigkeit die gesamte Tanzfläche eroberte.
1637;1638;Liste1;28;22;f;deutsch;nein;rechts;18;4;<id: item 18, condition 4>;Die Maja vergötterte den Dennis mehr als jede andere Person, weil ;er der beste Musiker ist;1;objekt;pers;;14055949368178.0;;;;;298;Maja vergötterte Dennis mehr als jede andere Person, weil;f;Maja;Denni;es;vergötterte;3;er der beste Musiker ist;er immer für sie da war und sie sich bei ihm geborgen fühlte.
428;429;Liste2;8;25;f;deutsch;nein;rechts;9;2;<id: item 9, condition 2>;Die Anja liebte den Marcel für die extreme Großzügigkeit gegenüber Bedürftigen, weil;sie das Elend auf der Welt sehr traurig machte.;1;subjekt;pers;;14055096191413.0;;;;;89;Anja liebte Marcel für die extreme Großzügigkeit gegenüber Bedürftigen, weil;f;Anja;Marce;es;liebte;1;sie das Elend auf der Welt sehr traurig machte.;er immer bereit war, anderen zu helfen, selbst wenn es bedeutete, eigene Bedürfnisse zurückzustellen.
1852;1853;Liste4;31;27;f;deutsch;Türkisch;rechts;53;4;<id: item 53, condition 4>;Die Rosa inspirierte den Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil ;sie von   Berichten über primitive Stämme von einem bekannten Psychologen erzählte, der  beobachten konnte, wie sich diese Menschen mit bestimmten Ritualen heilen.;1;subjekt;pers;;14055105173288.0;;;;;393;Rosa inspirierte Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil;f;Rosa;Thoma;se;inspirierte;3;sie von   Berichten über primitive Stämme von einem bekannten Psychologen erzählte, der  beobachten konnte, wie sich diese Menschen mit bestimmten Ritualen heilen.;sie mit ihrer Leidenschaft für ihre Arbeit und ihrer positiven Einstellung beeindruckte.
1685;1686;Liste4;29;20;f;deutsch;nein;rechts;6;3;<id: item 6, condition 3>;Der Michael ekelte sich vor der Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;es ihr an Körperhygiene massiv mangelte.;1;objekt;pers;;1405593560474.0;;;;;326;Michael ekelte sich vor Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;m;Michael;Elle;es;ekelte sich vor;4;es ihr an Körperhygiene massiv mangelte.;sie ihn ständig belog und hinterging.
464;465;Liste2;8;25;f;deutsch;nein;rechts;45;2;<id: item 45, condition 2>;Die Annika erschütterte den Pascal durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil ;er das nie von ihr erwartet hätte.;2;objekt;pers;;14055092825934.0;;;;;105;Annika erschütterte Pascal durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil;f;Annika;Pasca;se;erschütterte;1;er das nie von ihr erwartet hätte.;sie sich in ihrer Verzweiflung gefangen fühlte und keinen anderen Ausweg mehr sah.
5;6;Liste4;1;24;m;deutsch;nein;rechts;6;3;<id: item 6, condition 3>;Der Michael ekelte sich vor der Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;sie sich höchstens einmal dieWoche wäscht.;1;objekt;pers;;14055974598145.0;;;;;6;Michael ekelte sich vor Ellen schon seit geraumer Zeit bis aufs Äußerste, weil;m;Michael;Elle;es;ekelte sich vor;4;sie sich höchstens einmal dieWoche wäscht.;sie immer wieder ungefragt in sein Privatleben eingriff und keinen Respekt vor seinen persönlichen Grenzen zeigte.
1632;1633;Liste1;28;22;f;deutsch;nein;rechts;13;1;<id: item 13, condition 1>;Der Julian schätzte die Carina für das handwerkliche Geschick, weil;er das von Frauen nicht erwartet;1;subjekt;pers;;1405595600716.0;;;;;293;Julian schätzte Carina für das handwerkliche Geschick, weil;m;Julian;Carin;es;schätzte;2;er das von Frauen nicht erwartet;sie stets kreative und praktische Lösungen fand.
469;470;Liste2;8;25;f;deutsch;nein;rechts;50;1;<id: item 50, condition 1>;Der Yannik erschreckte die Annalena durch irre Grimassen und Schreie, weil ;er das sehr lustig fand.;1;subjekt;pers;;1405509300487.0;;;;;110;Yannik erschreckte Annalena durch irre Grimassen und Schreie, weil;m;Yannik;Annalen;se;erschreckte;2;er das sehr lustig fand.;er sie mit einer spontanen Geistergeschichte überraschen wollte.
295;296;Liste2;5;31;m;deutsch;nein;rechts;56;3;<id: item 56, condition 3>;Der Niko schockierte die Johanna bei dem Essen auf abartige Art und Weise, weil ;er Schnecken aß.;1;subjekt;pers;;14056049148056.0;;;;;76;Niko schockierte Johanna bei dem Essen auf abartige Art und Weise, weil;m;Niko;Johann;se;schockierte;4;er Schnecken aß.;er plötzlich begann, lebende Insekten von seinem Teller zu essen.
1849;1850;Liste4;31;27;f;deutsch;Türkisch;rechts;50;3;<id: item 50, condition 3>;Der Yannik erschreckte die Annalena vor wenigen Minuten äußerst heftig, weil ;er so getan hat, als würde er einen Regenwurm essen. ;1;subjekt;pers;;1405510278752.0;;;;;390;Yannik erschreckte Annalena vor wenigen Minuten äußerst heftig, weil;m;Yannik;Annalen;se;erschreckte;4;er so getan hat, als würde er einen Regenwurm essen. ;er unerwartet aus dem Schrank sprang.
59;60;Liste4;1;24;m;deutsch;nein;rechts;60;1;<id: item 60, condition 1>;Der Manuel verwirrte die Paula durch eine unverständliche Erklärung über Computer Betriebssysteme, weil ;Paula ihm von ihren PC-Problemen erzählt hatte.;2;objekt;name;;14055980256749.0;;;;;40;Manuel verwirrte Paula durch eine unverständliche Erklärung über Computer Betriebssysteme, weil;m;Manuel;Paul;se;verwirrte;2;Paula ihm von ihren PC-Problemen erzählt hatte.;er zu viele Fachbegriffe benutzte, die sie nicht kannte.
2117;2118;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;18;2;<id: item 18, condition 2>;Die Maja vergötterte den Dennis für die unglaubliche Stimme, weil;sie ihn näher kennen lernen wollte.;ns;;;;14056025970211.0;;;;;458;Maja vergötterte Dennis für die unglaubliche Stimme, weil;f;Maja;Denni;es;vergötterte;1;sie ihn näher kennen lernen wollte.;sie jedes Mal Gänsehaut bekam, wenn er sang.
46;47;Liste4;1;24;m;deutsch;nein;rechts;47;2;<id: item 47, condition 2>;Die Lea enttäuschte den Christoph durch fremdenfeindliche Witze und Parolen, weil ;er sie so gar nicht eingeordnet hätte.;2;objekt;pers;;1405598100779.0;2;objekt;pers;;27;Lea enttäuschte Christoph durch fremdenfeindliche Witze und Parolen, weil;f;Lea;Christop;se;enttäuschte;1;er sie so gar nicht eingeordnet hätte.;sie seine Werte und sein Einfühlungsvermögen unterschätzt hatte.
2111;2112;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;12;4;<id: item 12, condition 4>;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil;sie zur Erkenntnis gelangte, dass Respekt auf Gegenseitigkeit beruht.;1;subjekt;pers;;14056027269914.0;;;;;452;Katharina respektierte Peter im Laufe der Zeit mehr und mehr, weil;f;Katharina;Pete;es;respektierte;3;sie zur Erkenntnis gelangte, dass Respekt auf Gegenseitigkeit beruht.;sie seine Fähigkeiten und seinen Einsatz besser zu schätzen lernte.
1630;1631;Liste1;28;22;f;deutsch;nein;rechts;11;3;<id: item 11, condition 3>;Der Mark mochte die Eva vom ersten Augenblick der Konferenz an, weil;ihre Augen so blau sind;0-poss;objekt;poss;;14055957898447.0;;;;;291;Mark mochte Eva vom ersten Augenblick der Konferenz an, weil;m;Mark;Ev;es;mochte;4;ihre Augen so blau sind;sie dieselben Interessen teilten und er ihre offene und freundliche Art schätzte.
1876;1877;Liste1;32;24;f;deutsch;nein;rechts;17;1;<id: item 17, condition 1>;Der Stephan verehrte die Nadine für die Entwürfe der neuen Kollektion, weil ;sie sehr ausgefallen und doch schick sind.;0;;;;1405594182.63;;;;;417;Stephan verehrte Nadine für die Entwürfe der neuen Kollektion, weil;m;Stephan;Nadin;es;verehrte;2;sie sehr ausgefallen und doch schick sind.;sie innovativ und einzigartig waren.
2145;2146;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;46;2;<id: item 46, condition 2>;Die Marlene bezauberte den Timo durch das schöne Harfenspiel im Schulorchester, weil ;sie nach ihrem Solo das Interesse des Publikums auf sich zog.;1;subjekt;pers;;14056018461349.0;1;subjekt;pers;;466;Marlene bezauberte Timo durch das schöne Harfenspiel im Schulorchester, weil;f;Marlene;Tim;se;bezauberte;1;sie nach ihrem Solo das Interesse des Publikums auf sich zog.;sie mit jeder Note eine besondere Emotion vermitteln konnte.
2114;2115;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;15;1;<id: item 15, condition 1>;Der Andre verabscheute die Elisabeth für den hinterhältigen Umgang mit den Kunden, weil ;er sie letztens beim Augenrollen erblickte.;2;subjekt;pers;;14056033793304.0;;;;;455;Andre verabscheute Elisabeth für den hinterhältigen Umgang mit den Kunden, weil;m;Andre;Elisabet;es;verabscheute;2;er sie letztens beim Augenrollen erblickte.;sie stets unehrlich war und absichtlich falsche Informationen verbreitete, um ihre eigenen Vorteile zu sichern.
1873;1874;Liste1;32;24;f;deutsch;nein;rechts;14;4;<id: item 14, condition 4>;Die Melanie sorgte sich um den Florian mit stetig wachsender Unruhe, weil ;sie immer Geschrei hört in seiner Wohnung.;1;subjekt;pers;;14055935187471.0;;;;;414;Melanie sorgte sich um Florian mit stetig wachsender Unruhe, weil;f;Melanie;Floria;es;sorgte sich um;3;sie immer Geschrei hört in seiner Wohnung.;sie bemerkte, dass er in letzter Zeit oft abwesend wirkte und sich immer mehr zurückzog.
1639;1640;Liste1;28;22;f;deutsch;nein;rechts;20;2;<id: item 20, condition 2>;Die Verena vertraute dem Tobias wegen der stoischen Ruhe bei Not-OPs, weil;er sichere Schnitte setzt;1;objekt;pers;;14055953450112.0;1;objekt;pers;;300;Verena vertraute Tobias wegen der stoischen Ruhe bei Not-OPs, weil;f;Verena;Tobia;es;vertraute;1;er sichere Schnitte setzt;er immer einen klaren Kopf behielt und präzise Entscheidungen traf.
281;282;Liste2;5;31;m;deutsch;nein;rechts;42;1;<id: item 42, condition 1>;Der Leon ängstigte die Anne durch aggressives Verhalten gegenüber den Teilnehmern, weil ;sie sich über seine Hmsexualität lustig machten.;0-poss;subjekt;poss;;14056051432039.0;;;;;62;Leon ängstigte Anne durch aggressives Verhalten gegenüber den Teilnehmern, weil;m;Leon;Ann;se;ängstigte;2;sie sich über seine Hmsexualität lustig machten.;er selbst unter großem Stress stand und seine Emotionen nicht kontrollieren konnte.
1550;1551;Liste3;26;26;f;deutsch;nein;rechts;51;1;<id: item 51, condition 1>;Der Benedikt erstaunte die Heidi durch ein Jonglierkunststück mit sieben Bällen, weil ;sie selbst nichtmal mit drei Bällen jonglieren kann.;1;objekt;pers;;14055098041622.0;;;;;271;Benedikt erstaunte Heidi durch ein Jonglierkunststück mit sieben Bällen, weil;m;Benedikt;Heid;se;erstaunte;2;sie selbst nichtmal mit drei Bällen jonglieren kann.;er zuvor nie erwähnt hatte, dass er jonglieren kann.
1362;1363;Liste2;23;22;m;deutsch;nein;rechts;43;4;<id: item 43, condition 4>;Die Julia beeindruckte den Andreas wieder und wieder über alle Maßen, weil ;sie sehr schöne Kleider trägt.;1;subjekt;pers;;14055977857377.0;1;subjekt;pers;;183;Julia beeindruckte Andreas wieder und wieder über alle Maßen, weil;f;Julia;Andrea;se;beeindruckte;3;sie sehr schöne Kleider trägt.;sie immer mit kreativen Lösungen für schwierige Probleme kam.
833;834;Liste3;14;24;m;deutsch;nein;rechts;54;2;<id: item 54, condition 2>;Die Alexandra irritierte den Lars durch merkwürdige Fragen zur Person, weil ;sie seine Verstrickung in das Stauffenberg-Attentat erfahren wollte.;1;subjekt;pers;;14055973548196.0;;;;;154;Alexandra irritierte Lars durch merkwürdige Fragen zur Person, weil;f;Alexandra;Lar;se;irritierte;1;sie seine Verstrickung in das Stauffenberg-Attentat erfahren wollte.;sie auf eine subtile Weise mehr über seine Vergangenheit herausfinden wollte.
56;57;Liste4;1;24;m;deutsch;nein;rechts;57;4;<id: item 57, condition 4>;Die Kathrin störte den Max über alle Maßen während der Höhlenerkundung, weil ;sie ständig redete und alles besser wusste.;1;subjekt;pers;;14055977510539.0;;;;;37;Kathrin störte Max über alle Maßen während der Höhlenerkundung, weil;f;Kathrin;Ma;se;störte;3;sie ständig redete und alles besser wusste.;sie ständig laute Geräusche machte und damit die Ruhe unterbrach.
285;286;Liste2;5;31;m;deutsch;nein;rechts;46;1;<id: item 46, condition 1>;Der Timo bezauberte die Marlene durch das schöne Harfenspiel im Schulorchester, weil ;seine Hände so anmutig waren.;0-poss;subjekt;poss;;1405604720.72;;;;;66;Timo bezauberte Marlene durch das schöne Harfenspiel im Schulorchester, weil;m;Timo;Marlen;se;bezauberte;2;seine Hände so anmutig waren.;es sie an ihre Kindheit erinnerte und sie die melancholischen Klänge der Harfe immer geliebt hatte.
