index;Participant;List;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1_gender;NP2_gender;Verbtyp;Connective;Prompt;Continuation;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;Continuation_Item;prompt;np1gender;NP1;NP2;verbclass;verb;RunCondition;Human;ChatGPT
1364;310;3;19;female;rechts;72639;72639;Rumänisch;nein;female;35;16;15604139205683;2;sodass_se_fm;entzücken;object; f; m;se; sodass; Stefanie entzückte Dennis, sodass ...;er sie nun noch viel mehr mochte.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;346;1414;Selected;321;Stefanie entzückte Dennis, sodass; f;Stefanie;Dennis;se;entzückte;1;er sie nun noch viel mehr mochte.;er den ganzen Abend ein Lächeln im Gesicht hatte.
224;411;4;26;female;rechts;71642;72074;keine;nein;female;55;4;15604283910972;2;sodass_es_mf;respektieren;subject; m; f;es; sodass; Kevin respektierte Saskia, sodass ...;sie sich schnell auf einen guten Kompromiss einigen konnten.;sinnvoll;Plural; ; ; ; ; ; ; ; ; ;anderes Wort;andere morphosyntaktische Form;Not Selected;1285;1978;Not Selected;46;Kevin respektierte Saskia, sodass; m;Kevin;Saskia;es;respektierte;2;sie sich schnell auf einen guten Kompromiss einigen konnten.;er ihre Meinung immer ernst nahm und aufrichtig zuhörte.
1027;212;2;30;male;rechts;99192;72108;keine;ja;male;105;2;15604162034914;2;weil_se_fm;faszinieren;subject; f; m;se; weil; Anastasia faszinierte Patrick, weil ...;sie so anders war alle, die er kannte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;241;999;Selected;212;Anastasia faszinierte Patrick, weil; f;Anastasia;Patrick;se;faszinierte;0;sie so anders war alle, die er kannte.;sie eine geheimnisvolle Ausstrahlung und eine außergewöhnliche Begabung für Musik hatte.
182;310;3;19;female;rechts;72639;72639;Rumänisch;nein;female;61;10;15604157376663;2;sodass_es_fm;achten;subject; f; m;es; sodass; Adele achtete Robin, sodass ...;die beide guten Freunde waren.;sinnvoll;Plural; ; ; ; ; ; ; ; ; ;anderes Wort;andere morphosyntaktische Form;Not Selected;1028;1422;Not Selected;40;Adele achtete Robin, sodass; f;Adele;Robin;es;achtete;2;die beide guten Freunde waren.;er ihrem Rat stets folgte.
1729;410;4;23;female;rechts;72459;72076;Französisch;nein;female;97;6;15604360209617;2;weil_es_fm;misstrauen;object; f; m;es; weil; Jana misstraute Daniel, weil ...;er sie im letzten Jahr belogen hatte.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;86;1955;Selected;337;Jana misstraute Daniel, weil; f;Jana;Daniel;es;misstraute;3;er sie im letzten Jahr belogen hatte.;er bereits mehrmals gelogen hatte.
105;411;4;26;female;rechts;71642;72074;keine;nein;female;111;18;15604292569567;2;sodass_se_mf;erstaunen;object; m; f;se; sodass; Klaus erstaunte Marie, sodass ...;er ihre Version der Geschichte immer wieder hören wollte.;sinnvoll;zwei;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;712;1999;Not Selected;19;Klaus erstaunte Marie, sodass; m;Klaus;Marie;se;erstaunte;1;er ihre Version der Geschichte immer wieder hören wollte.;sie sprachlos war.
84;307;3;18;female;rechts;70174;72074;keine;nein;female;10;2;15605276295561;2;weil_se_mf;faszinieren;subject; m; f;se; weil; Patrick faszinierte Anastasia, weil ...;sie gut in der Schule war;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1659;1281;Not Selected;9;Patrick faszinierte Anastasia, weil; m;Patrick;Anastasia;se;faszinierte;0;sie gut in der Schule war;er eine unvergleichliche Leidenschaft für Musik hatte und mit seiner einfühlsamen Art stets ihre Neugier weckte.
1826;413;4;29;male;rechts;72108;71032;keine;ja;male;4;10;1560538116492;2;sodass_se_mf;beeindrucken;object; m; f;se; sodass; Robin beeindruckte Adele, sodass ...;diese vor Ãœberwältigung umfiel und sich den Arm brach.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1754;2043;Selected;404;Robin beeindruckte Adele, sodass; m;Robin;Adele;se;beeindruckte;1;diese vor Ãœberwältigung umfiel und sich den Arm brach.;sie beschloss, ihn näher kennenzulernen.
1033;212;2;30;male;rechts;99192;72108;keine;ja;male;50;7;15604155393209;2;weil_es_mf;schätzen;object; m; f;es; weil; Oliver schätzte Lena, weil ...;sie immer ehrlich zu ihm war.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;766;977;Selected;218;Oliver schätzte Lena, weil; m;Oliver;Lena;es;schätzte;3;sie immer ehrlich zu ihm war.;sie immer ehrlich und unterstützend war.
1736;410;4;23;female;rechts;72459;72076;Französisch;nein;female;108;10;15604361780428;2;weil_es_fm;achten;object; f; m;es; weil; Adele achtete Robin, weil ...;er treu und ehrlich war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1990;1959;Selected;344;Adele achtete Robin, weil; f;Adele;Robin;es;achtete;3;er treu und ehrlich war.;er durch seine Freundlichkeit und Hilfsbereitschaft glänzte.
2046;411;4;26;female;rechts;71642;72074;keine;nein;female;67;7;15604285813519;2;sodass_es_fm;schätzen;subject; f; m;es; sodass; Lena schätzte Oliver, sodass ...;er schnell wieder sein Selbstwbewusstsein fand.;sinnvoll;eine;so;NP2;Objekt;inkongruent;pers;1;nein;ja;ja;bias-inkongruente Anapher;biasinkongruentes Personalpronomen;Selected;384;1981;Selected;468;Lena schätzte Oliver, sodass; f;Lena;Oliver;es;schätzte;2;er schnell wieder sein Selbstwbewusstsein fand.;sie ihm immer vertraute und sich stets auf ihn verlassen konnte.
1942;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;86;10;15604626605558;2;sodass_es_mf;achten;subject; m; f;es; sodass; Robin achtete Adele, sodass ...;sie sich geschmeichelt fühlte;sinnvoll;eine;so;NP2;Objekt;inkongruent;pers;1;nein;ja;ja;bias-inkongruente Anapher;biasinkongruentes Personalpronomen;Selected;510;628;Selected;447;Robin achtete Adele, sodass; m;Robin;Adele;es;achtete;2;sie sich geschmeichelt fühlte;sie sich stets verstanden fühlte.
1761;411;4;26;female;rechts;71642;72074;keine;nein;female;5;6;1560427482554;2;sodass_se_mf;verwirren;object; m; f;se; sodass; Daniel verwirrte Jana, sodass ...;sie sich erst einmal zurückzog.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;134;1962;Selected;369;Daniel verwirrte Jana, sodass; m;Daniel;Jana;se;verwirrte;1;sie sich erst einmal zurückzog.;sie nicht mehr wusste, was sie glauben sollte.
867;206;2;19;female;rechts;73432;72072;keine;ja;female;19;20;15605185349865;2;sodass_se_mf;erschrecken;object; m; f;se; sodass; Albert erschreckte Aisha, sodass ...;sie schrie;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;737;724;Selected;211;Albert erschreckte Aisha, sodass; m;Albert;Aisha;se;erschreckte;1;sie schrie;sie vor Schreck aufschrie.
1121;302;3;26;female;rechts;83527;70619;keine;ja;female;68;10;15604473215138;2;weil_se_mf;beeindrucken;subject; m; f;se; weil; Robin beeindruckte Adele, weil ...;er schön war.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1928;1100;Selected;250;Robin beeindruckte Adele, weil; m;Robin;Adele;se;beeindruckte;0;er schön war.;er ein virtuoses Klaviersolo spielte, das das Publikum begeisterte.
313;101;1;26;female;rechts;81479;72070;keine;ja;female;12;18;15604382688564;2;weil_es_mf;ekeln sich vor;object; m; f;es; weil; Klaus ekelte sich vor Marie, weil ...;sie ihre Haare zu selten wusch.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1718;1;Selected;89;Klaus ekelte sich vor Marie, weil; m;Klaus;Marie;es;ekelte sich vor;3;sie ihre Haare zu selten wusch.;sie ständig mit offenem Mund kaute.
1965;212;2;30;male;rechts;99192;72108;keine;ja;male;23;15;1560415179435;2;weil_es_mf;fürchten;object; m; f;es; weil; Rüdiger fürchtete Katharina, weil ...;er wusste, wozu sie im Stande war.;sinnvoll;zwei;so;NP1;Subjekt;inkongruent;pers;1;nein;ja;ja;bias-inkongruente Anapher;biasinkongruentes Personalpronomen;Selected;1730;972;Selected;458;Rüdiger fürchtete Katharina, weil; m;Rüdiger;Katharina;es;fürchtete;3;er wusste, wozu sie im Stande war.;sie seine geheimsten Gedanken lesen konnte.
1119;302;3;26;female;rechts;83527;70619;keine;ja;female;60;9;15604472591257;2;weil_es_fm;hassen;object; f; m;es; weil; Annemarie hasste Malte, weil ...;er blöd war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;913;1097;Selected;248;Annemarie hasste Malte, weil; f;Annemarie;Malte;es;hasste;3;er blöd war.;er sie ständig unterbrach und nie zuhörte.
499;107;1;30;female;rechts;71131;71093;keine;nein;female;103;19;1560416149,42;2;weil_es_fm;sorgen sich um;object; f; m;es; weil; Alisa sorgte sich um Alexander, weil ...;er eine starke Erkältung bekam.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1670;274;Selected;148;Alisa sorgte sich um Alexander, weil; f;Alisa;Alexander;es;sorgte sich um;3;er eine starke Erkältung bekam.;er in letzter Zeit sehr zurückgezogen und schweigsam war.
748;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;22;8;15604616559924;2;weil_es_fm;mögen;object; f; m;es; weil; Jennifer mochte Tobias, weil ...;er immer zuhörte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1433;606;Selected;159;Jennifer mochte Tobias, weil; f;Jennifer;Tobias;es;mochte;3;er immer zuhörte;er immer ein offenes Ohr für sie hatte und sie zum Lachen bringen konnte.
479;107;1;30;female;rechts;71131;71093;keine;nein;female;15;5;15604141106362;2;weil_se_fm;bezaubern;subject; f; m;se; weil; Martha bezauberte Tim, weil ...;sie ihre Haare hochgesteckt hatte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;571;246;Selected;128;Martha bezauberte Tim, weil; f;Martha;Tim;se;bezauberte;0;sie ihre Haare hochgesteckt hatte.;sie mit ihrem Lächeln und ihrer herzlichen Art jeden Raum erhellte.
316;101;1;26;female;rechts;81479;72070;keine;ja;female;19;20;15604384419934;2;sodass_es_fm;bedauern;subject; f; m;es; sodass; Aisha bedauerte Albert, sodass ...;sie ihm ihre Hilfe anbot.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1107;3;Selected;92;Aisha bedauerte Albert, sodass; f;Aisha;Albert;es;bedauerte;2;sie ihm ihre Hilfe anbot.;sie beschloss, ihm zu helfen.
764;203;2;22;female;rechts;71032;72076;Italienisch;ja;female;25;20;15604617331668;2;weil_es_fm;bedauern;object; f; m;es; weil; Aisha bedauerte Albert, weil ...;er oft alleine war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1395;607;Selected;175;Aisha bedauerte Albert, weil; f;Aisha;Albert;es;bedauerte;3;er oft alleine war.;er unter der Last seines stressigen Berufs zu leiden schien.
361;103;1;32;male;rechts;27472;72074;keine;ja;male;3;12;15605456377685;2;weil_se_mf;amüsieren;subject; m; f;se; weil; Fritz amüsierte Emma, weil ...;er ein sympathischer Trottel war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1874;82;Selected;107;Fritz amüsierte Emma, weil; m;Fritz;Emma;se;amüsierte;0;er ein sympathischer Trottel war;er einen lustigen Witz erzählte.
308;101;1;26;female;rechts;81479;72070;keine;ja;female;40;15;15604389249001;2;sodass_se_mf;ängstigen;object; m; f;se; sodass; Rüdiger ängstigte Katharina, sodass ...;sie bei Karl Schutz suchte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;440;14;Selected;84;Rüdiger ängstigte Katharina, sodass; m;Rüdiger;Katharina;se;ängstigte;1;sie bei Karl Schutz suchte.;sie sich nicht traute, alleine nach Hause zu gehen.
88;310;3;19;female;rechts;72639;72639;Rumänisch;nein;female;80;3;15604163973628;2;weil_se_fm;enttäuschen;subject; f; m;se; weil; Simone enttäuschte Michael, weil ...;er ein Geheimnis weitererzählt hat.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;885;1426;Not Selected;11;Simone enttäuschte Michael, weil; f;Simone;Michael;se;enttäuschte;0;er ein Geheimnis weitererzählt hat.;sie nicht zu seinem Geburtstag erschienen ist.
311;101;1;26;female;rechts;81479;72070;keine;ja;female;95;17;15604399629069;2;weil_se_fm;irritieren;subject; f; m;se; weil; Marike irritierte Felix, weil ...;sie in Rätseln sprach.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2050;31;Selected;87;Marike irritierte Felix, weil; f;Marike;Felix;se;irritierte;0;sie in Rätseln sprach.;sie ständig unvorhersehbare Entscheidungen traf.
103;411;4;26;female;rechts;71642;72074;keine;nein;female;50;11;15604283126473;2;weil_se_mf;begeistern;subject; m; f;se; weil; Armin begeisterte Anna, weil ...;sie immer wieder von vorne begann, auch wenn Dinge schief gingen.;sinnvoll;eine;os;NP2; ; ;pers;1;nein;ja;ja; ; ;Not Selected;1306;1976;Not Selected;17;Armin begeisterte Anna, weil; m;Armin;Anna;se;begeisterte;0;sie immer wieder von vorne begann, auch wenn Dinge schief gingen.;er ihr ein beeindruckendes Kunstwerk zeigte.
1047;212;2;30;male;rechts;99192;72108;keine;ja;male;72;20;15604158046536;2;sodass_se_mf;erschrecken;object; m; f;se; sodass; Albert erschreckte Aisha, sodass ...;sie das Glas Wasser fallen ließ.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;533;984;Selected;232;Albert erschreckte Aisha, sodass; m;Albert;Aisha;se;erschreckte;1;sie das Glas Wasser fallen ließ.;sie vor Schreck einen Satz nach hinten machte und lachte.
89;310;3;19;female;rechts;72639;72639;Rumänisch;nein;female;87;4;15604166715258;2;sodass_se_fm;inspirieren;object; f; m;se; sodass; Saskia inspirierte Kevin, sodass ...;sie ebenfalls mehr Ideen hatte und kreativer wurde.;sinnvoll;eine;os;NP1; ; ;pers;1;nein;ja;ja; ; ;Not Selected;2;1431;Not Selected;12;Saskia inspirierte Kevin, sodass; f;Saskia;Kevin;se;inspirierte;1;sie ebenfalls mehr Ideen hatte und kreativer wurde.;er beschloss, seine Träume zu verfolgen und sich für ein Kunststipendium zu bewerben.
1120;302;3;26;female;rechts;83527;70619;keine;ja;female;25;9;15604468874428;2;sodass_se_mf;stören;object; m; f;se; sodass; Malte störte Annemarie, sodass ...;sie genervt war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;824;1087;Selected;249;Malte störte Annemarie, sodass; m;Malte;Annemarie;se;störte;1;sie genervt war.;sie sich nicht mehr auf ihre Arbeit konzentrieren konnte.
1733;410;4;23;female;rechts;72459;72076;Französisch;nein;female;102;8;15604360838815;2;sodass_es_mf;mögen;subject; m; f;es; sodass; Tobias mochte Jennifer, sodass ...;er sie immer wieder nach einem Date fragte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1208;1958;Selected;341;Tobias mochte Jennifer, sodass; m;Tobias;Jennifer;es;mochte;2;er sie immer wieder nach einem Date fragte.;er sie oft zu gemeinsamen Unternehmungen einlud.
1361;310;3;19;female;rechts;72639;72639;Rumänisch;nein;female;12;14;15604129096154;2;sodass_es_fm;anhimmeln;subject; f; m;es; sodass; Janina himmelte Yannick an, sodass ...;sie ihm tatsächlich ihre Liebe gesteht, welche er erwidert.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1125;1404;Selected;318;Janina himmelte Yannick an, sodass; f;Janina;Yannic;es;himmelte;2;sie ihm tatsächlich ihre Liebe gesteht, welche er erwidert.;sie dabei vergaß, was sie eigentlich sagen wollte.
